user_id,item_id
U16127,P00244
U28891,P01918
U01934,P02258
U22546,P01790
U15740,P00801
U08453,P00068
U12767,P02701
U09903,P00188
U22897,P00464
U26566,P01764
U03174,P00356
U25903,P00278
U14167,P00450
U03120,P00596
U16611,P02247
U24294,P00453
U10246,P00783
U25664,P00006
U02610,P01809
U01798,P00438
U09724,P00020
U14226,P01515
U19597,P00020
U02877,P00706
U20966,P01753
U13348,P02760
U29552,P03139
U12905,P02447
U22303,P00774
U07283,P00187
U12153,P01825
U18424,P00160
U07634,P02119
U25694,P01114
U24917,P01464
U20643,P03094
U08318,P00508
U03735,P00005
U20467,P01891
U01257,P01778
U18559,P00285
U16930,P01812
U28720,P00198
U21215,P02538
U01952,P01470
U29288,P00467
U09527,P03156
U27699,P00133
U04213,P02193
U25679,P01736
U17070,P00467
U28789,P00907
U16636,P00001
U03280,P02392
U23287,P02230
U13988,P01050
U10918,P02079
U19292,P00349
U29274,P02190
U17465,P00197
U05521,P00375
U11063,P01812
U22094,P00114
U04310,P02852
U11146,P00705
U14789,P00454
U15734,P02229
U11458,P03088
U02677,P01923
U03761,P02835
U00118,P02902
U04657,P02213
U26262,P01840
U26276,P01049
U03227,P00159
U16605,P00464
U22243,P02329
U25545,P02305
U28548,P02060
U16392,P02447
U21655,P02596
U16814,P01817
U06137,P01477
U29331,P00867
U07710,P01961
U00816,P01813
U23682,P00386
U28278,P02730
U03728,P00006
U22122,P01684
U18997,P00020
U11674,P01546
U16778,P02437
U23342,P02230
U22498,P00481
U24122,P01331
U10213,P00902
U13225,P00823
U13282,P03156
U09395,P02194
U05061,P00297
U26622,P01063
U28839,P02883
U01532,P02068
U20638,P00565
U01193,P01972
U15833,P02489
U12487,P00801
U25956,P02726
U23899,P01097
U12324,P00953
U27038,P00359
U01070,P01763
U18181,P00771
U03027,P01972
U25079,P00002
U01386,P02411
U19602,P00219
U04681,P01108
U03740,P02068
U14729,P00912
U13018,P00006
U19436,P01595
U20815,P00446
U24785,P00985
U11819,P00123
U09037,P00562
U10867,P00514
U26327,P02395
U05641,P00020
U05052,P00710
U23068,P00219
U16345,P00890
U01431,P02763
U01432,P00014
U12400,P00219
U03964,P00241
U22062,P02027
U28721,P00196
U17216,P01486
U28539,P00453
U03441,P02254
U07745,P00001
U03038,P03177
U11869,P00456
U14043,P00508
U08225,P00222
U00289,P01685
U29914,P02401
U24085,P00222
U17403,P02995
U01158,P00928
U00348,P00855
U04978,P02266
U14771,P00541
U12264,P01569
U23544,P02024
U13599,P00219
U25048,P01896
U24461,P01905
U27594,P03004
U16605,P01986
U14112,P02537
U10777,P01491
U01802,P00219
U06750,P02051
U14421,P01644
U20343,P03010
U12397,P02064
U28522,P03158
U21069,P00225
U27114,P00221
U16767,P01937
U04978,P00836
U25318,P01972
U25338,P00001
U03952,P01334
U28554,P00192
U03120,P00043
U25318,P02565
U03758,P01170
U09301,P01972
U27136,P00139
U19941,P01972
U23414,P01292
U07072,P02239
U27037,P00002
U00265,P01334
U10487,P01525
U05244,P00116
U02509,P00219
U09818,P01977
U29266,P00176
U22073,P00020
U10535,P01244
U16306,P02186
U12542,P00271
U20633,P01073
U19771,P01977
U17697,P03040
U17104,P01411
U11275,P00001
U08188,P02072
U05207,P00006
U29218,P00266
U11757,P01058
U09420,P00016
U22319,P02946
U24518,P01023
U13018,P00196
U15297,P00713
U12428,P01404
U07710,P00197
U24760,P00008
U18763,P01746
U29415,P02555
U17010,P01329
U23339,P00020
U07679,P00229
U01646,P02038
U28728,P01972
U27680,P02161
U03772,P00224
U24395,P00174
U08615,P00534
U00608,P01332
U09886,P02644
U05472,P00196
U04633,P00389
U27608,P01892
U24637,P00375
U10424,P00562
U29384,P03156
U08824,P00454
U00532,P00110
U29417,P02012
U00038,P00535
U25824,P03091
U20416,P02012
U25694,P02077
U02763,P00138
U11738,P01997
U00539,P02090
U17193,P03019
U14548,P00001
U10696,P00063
U11149,P01059
U19888,P02753
U27468,P02095
U20634,P02464
U05888,P02925
U06425,P01049
U25898,P01684
U12135,P01972
U03606,P02113
U21408,P03107
U12865,P00951
U17762,P02000
U03120,P00938
U03370,P00476
U22874,P02119
U00062,P00131
U26755,P01858
U27282,P00121
U22373,P00020
U10852,P02725
U26660,P00196
U19574,P00538
U25872,P00196
U09420,P00006
U11746,P01690
U06770,P02689
U27180,P01884
U06113,P01742
U20968,P02883
U11134,P01858
U20851,P01685
U18474,P00854
U08891,P02134
U15803,P01220
U18996,P02688
U16060,P01962
U13931,P01872
U11171,P01602
U13553,P00532
U09163,P01179
U11456,P01731
U00196,P02019
U02888,P01995
U24426,P00096
U23597,P02538
U13836,P00907
U19140,P00722
U00174,P00971
U16699,P01499
U07181,P00907
U01120,P00046
U14136,P02931
U15177,P00152
U29538,P00562
U03882,P00994
U02283,P00439
U13955,P00710
U23131,P00133
U15078,P00889
U01487,P00014
U25463,P00448
U04332,P02782
U27720,P00762
U13503,P01361
U07658,P01316
U23061,P00149
U28277,P03032
U28493,P02308
U21891,P03075
U10524,P00348
U22761,P00224
U04622,P00038
U28059,P00704
U03024,P01606
U08427,P01699
U26622,P00002
U02061,P00020
U19883,P00411
U24010,P00299
U29986,P01098
U24328,P01275
U20717,P00020
U18705,P00197
U20589,P01972
U16306,P00906
U14679,P01602
U15370,P01755
U24190,P00479
U00009,P00196
U02141,P00181
U28344,P00957
U23726,P02726
U17718,P01897
U04543,P00535
U00092,P02819
U20789,P01972
U14359,P01782
U12614,P00238
U28933,P01808
U07314,P00020
U06643,P00778
U13374,P00453
U16164,P00951
U18609,P00002
U10881,P00002
U20343,P00133
U05404,P00657
U08843,P00220
U01401,P00983
U27226,P01897
U12280,P01884
U26777,P02639
U23400,P00137
U00497,P01897
U10547,P02134
U09687,P01369
U10062,P00038
U13706,P02201
U16529,P00001
U28884,P01406
U00163,P01833
U28748,P00018
U08222,P00595
U23091,P02885
U08997,P01832
U07240,P01081
U18719,P01361
U15307,P00453
U06242,P02229
U26496,P00946
U20643,P02866
U24056,P02978
U19461,P00020
U05310,P00440
U03941,P01836
U25260,P00133
U15576,P00375
U23400,P01961
U01306,P00705
U04520,P01925
U02343,P00244
U06699,P01972
U11932,P01769
U10056,P01457
U05987,P00401
U20128,P00020
U18074,P02084
U24449,P02084
U12992,P01972
U20082,P02556
U08409,P00784
U27977,P00224
U15554,P00538
U19116,P00081
U13395,P00308
U24057,P03094
U14336,P01809
U21881,P01443
U19997,P01819
U07353,P03186
U04291,P01338
U29143,P00446
U04841,P00446
U08830,P02160
U00614,P00723
U20402,P00626
U25318,P02213
U18707,P02587
U28495,P01653
U17960,P00005
U17549,P00196
U12697,P00365
U29063,P03189
U01980,P02089
U11010,P01085
U14103,P00196
U20762,P00006
U25276,P00801
U20044,P01931
U29674,P00467
U15033,P00006
U13723,P01082
U00856,P00754
U12669,P00502
U05293,P00771
U15829,P00657
U20804,P00341
U00801,P02280
U07396,P00099
U17830,P00946
U04902,P01371
U01190,P01977
U12592,P01380
U07593,P02653
U15989,P01913
U03969,P00197
U27120,P00313
U06610,P02852
U29619,P01533
U08265,P00923
U10507,P02233
U29883,P00020
U19048,P02706
U23757,P02462
U20275,P00073
U06177,P00372
U15191,P00308
U00847,P00605
U20265,P03123
U09425,P00405
U07599,P01788
U16060,P02950
U01386,P01846
U08137,P03224
U13059,P01248
U10803,P03228
U27929,P00204
U29082,P00516
U10131,P00387
U14189,P00831
U19615,P02531
U14679,P00133
U23778,P01312
U19481,P02068
U02239,P01181
U10898,P00467
U14107,P00003
U22694,P02240
U18925,P00116
U02244,P01958
U01735,P00456
U24764,P01565
U06563,P02300
U20735,P03082
U12821,P00008
U10212,P02094
U24358,P03066
U08518,P00005
U21879,P03047
U16620,P01441
U12414,P02689
U02363,P01763
U11436,P01895
U04079,P00034
U25512,P00657
U21182,P01812
U28165,P00342
U00726,P02066
U23575,P00446
U13455,P00002
U09608,P01878
U18493,P00746
U12349,P01842
U01930,P00002
U19472,P00902
U04418,P01375
U17856,P00636
U08354,P00438
U26185,P00889
U13777,P02064
U02745,P00710
U10708,P00810
U14962,P03082
U07419,P02574
U03115,P00001
U07556,P00001
U29504,P00258
U14840,P01976
U20992,P02967
U28720,P03057
U23342,P01764
U25224,P01527
U16615,P00751
U02062,P01629
U26572,P01956
U08843,P01826
U25027,P00765
U06393,P00546
U01165,P01273
U11657,P02563
U03528,P00115
U24382,P00225
U06489,P01158
U14112,P01100
U16894,P00073
U11788,P01475
U19096,P00386
U10511,P01917
U23453,P00540
U06925,P00811
U16841,P02370
U14803,P00002
U18424,P02677
U09518,P02731
U00812,P02538
U26567,P00006
U07760,P00595
U01548,P00910
U13836,P00771
U09515,P01796
U29375,P00066
U16215,P00198
U11378,P00020
U23737,P00087
U17991,P00224
U25425,P00801
U10322,P01972
U00278,P02746
U15566,P01652
U24096,P00933
U02027,P01166
U27190,P00020
U07358,P00219
U11549,P02404
U13013,P00749
U12583,P01512
U11963,P01676
U15086,P00341
U29545,P02819
U15006,P02876
U25088,P00750
U02992,P00475
U19358,P01295
