resume_seq,recruitment_seq
U05833,R05806
U05833,R00304
U05833,R00600
U05833,R02806
U05833,R00097
U06456,R00523
U06456,R05156
U06456,R03611
U06456,R00014
U06456,R02254
U07807,R01467
U07807,R02419
U07807,R03636
U07807,R04834
U07807,R01409
U04842,R03430
U04842,R01292
U04842,R04460
U04842,R05725
U04842,R02208
U08336,R01292
U08336,R02497
U08336,R05725
U08336,R01321
U08336,R05510
U03753,R02885
U03753,R00078
U03753,R02800
U03753,R02430
U03753,R05328
U01045,R01964
U01045,R00565
U01045,R03389
U01045,R03499
U01045,R02125
U00825,R03195
U00825,R04768
U00825,R04294
U00825,R05586
U00825,R03056
U07438,R01621
U07438,R04075
U07438,R01102
U07438,R01055
U07438,R06270
U01917,R00277
U01917,R01431
U01917,R05537
U01917,R04866
U01917,R06470
U00357,R02303
U00357,R04258
U00357,R00135
U00357,R01355
U00357,R03615
U05806,R02908
U05806,R00999
U05806,R05806
U05806,R00304
U05806,R02279
U05450,R04108
U05450,R03914
U05450,R00832
U05450,R01741
U05450,R05327
U06130,R00107
U06130,R03147
U06130,R05150
U06130,R02568
U06130,R02167
U01346,R03648
U01346,R06168
U01346,R00544
U01346,R03517
U01346,R01124
U00385,R01692
U00385,R05285
U00385,R03200
U00385,R02017
U00385,R04603
U05824,R02531
U05824,R00917
U05824,R05829
U05824,R05520
U05824,R06053
U06246,R01535
U06246,R02082
U06246,R02543
U06246,R04690
U06246,R03912
U00948,R02779
U00948,R01584
U00948,R00804
U00948,R06013
U00948,R01348
U06687,R00277
U06687,R04066
U06687,R05481
U06687,R00397
U06687,R01431
U04199,R02432
U04199,R04018
U04199,R06298
U04199,R06498
U04199,R03177
U07934,R00277
U07934,R02593
U07934,R03510
U07934,R01364
U07934,R01214
U04227,R03538
U04227,R00297
U04227,R04072
U04227,R04914
U04227,R03812
U06206,R01741
U06206,R01683
U06206,R02858
U06206,R01399
U06206,R03141
U01224,R03744
U01224,R05574
U01224,R06572
U01224,R05475
U01224,R06092
U06389,R01508
U06389,R02963
U06389,R02669
U06389,R03237
U06389,R01535
U07292,R02412
U07292,R01081
U07292,R01960
U07292,R04050
U07292,R00766
U00671,R03237
U00671,R03912
U00671,R00056
U00671,R00844
U00671,R01535
U03148,R06352
U03148,R06332
U03148,R01225
U03148,R00432
U03148,R01224
U08015,R01103
U08015,R04074
U08015,R04774
U08015,R06126
U08015,R02412
U00310,R04554
U00310,R03927
U00310,R03505
U00310,R06684
U00310,R01509
U04319,R05487
U04319,R01833
U04319,R01584
U04319,R00922
U04319,R05665
U06367,R03658
U06367,R00913
U06367,R02499
U06367,R04798
U06367,R03329
U07627,R01667
U07627,R05837
U07627,R01552
U07627,R00076
U07627,R03287
U05776,R00983
U05776,R00687
U05776,R01751
U05776,R03466
U05776,R02157
U02907,R00913
U02907,R02507
U02907,R06156
U02907,R05717
U02907,R05468
U05153,R00056
U05153,R03237
U05153,R06405
U05153,R01577
U05153,R06107
U01456,R01336
U01456,R06338
U01456,R05991
U01456,R02225
U01456,R01468
U05780,R02695
U05780,R06570
U05780,R01262
U05780,R03624
U05780,R01807
U01128,R06231
U01128,R00802
U01128,R05569
U01128,R01702
U01128,R03906
U08050,R00559
U08050,R00255
U08050,R02224
