resume_seq,recruitment_seq
U05833,R00600
U05833,R03651
U05833,R02806
U05833,R02398
U05833,R04131
U06456,R05156
U06456,R03318
U06456,R04205
U06456,R04027
U06456,R00523
U07807,R06691
U07807,R04768
U07807,R00436
U07807,R01612
U07807,R01481
U04842,R03430
U04842,R01215
U04842,R01292
U04842,R02208
U04842,R03096
U08336,R03189
U08336,R04021
U08336,R00382
U08336,R05510
U08336,R03096
U03753,R02885
U03753,R02380
U03753,R02430
U03753,R02800
U03753,R05521
U01045,R02784
U01045,R00565
U01045,R05129
U01045,R03173
U01045,R02125
U00825,R03195
U00825,R04294
U00825,R01660
U00825,R04768
U00825,R01887
U07438,R06270
U07438,R01102
U07438,R02642
U07438,R01621
U07438,R04075
U01917,R00277
U01917,R01431
U01917,R04866
U01917,R04472
U01917,R02440
U00357,R02303
U00357,R00135
U00357,R03658
U00357,R03615
U00357,R01879
U05806,R02537
U05806,R00097
U05806,R02279
U05806,R02021
U05806,R03266
U05450,R01157
U05450,R04891
U05450,R03643
U05450,R03638
U05450,R01511
U06130,R00111
U06130,R05727
U06130,R05188
U06130,R01756
U06130,R00034
U01346,R05390
U01346,R02080
U01346,R05380
U01346,R03974
U01346,R01284
U00385,R03200
U00385,R04776
U00385,R01692
U00385,R02539
U00385,R04527
U05824,R04549
U05824,R06162
U05824,R02170
U05824,R05671
U05824,R02790
U06246,R02543
U06246,R06071
U06246,R05162
U06246,R01535
U06246,R00808
U00948,R00056
U00948,R04909
U00948,R02779
U00948,R01348
U00948,R02384
U06687,R00277
U06687,R01870
U06687,R01203
U06687,R02519
U06687,R02991
U04199,R05135
U04199,R05204
U04199,R01482
U04199,R03434
U04199,R00853
U07934,R02189
U07934,R05249
U07934,R01794
U07934,R00957
U07934,R00938
U04227,R01429
U04227,R01410
U04227,R05047
U04227,R02091
U04227,R00335
U06206,R05417
U06206,R00550
U06206,R00858
U06206,R03840
U06206,R00161
U01224,R01838
U01224,R05300
U01224,R04389
U01224,R01860
U01224,R01996
U06389,R03237
U06389,R02173
U06389,R05400
U06389,R02756
U06389,R04314
U07292,R01960
U07292,R04050
U07292,R03128
U07292,R02746
U07292,R03324
U00671,R01727
U00671,R06413
U00671,R00056
U00671,R00844
U00671,R03099
U03148,R03903
U03148,R01344
U03148,R04937
U03148,R01224
U03148,R02989
U08015,R02412
U08015,R04050
U08015,R01109
U08015,R05989
U08015,R00802
U00310,R03927
U00310,R04554
U00310,R04919
U00310,R06684
U00310,R00572
U04319,R00922
U04319,R01833
U04319,R04269
U04319,R01775
U04319,R05487
U06367,R03633
U06367,R06075
U06367,R02499
U06367,R03329
U06367,R01426
U07627,R05854
U07627,R01667
U07627,R06595
U07627,R03534
U07627,R01323
U05776,R04669
U05776,R02634
U05776,R01003
U05776,R05026
U05776,R05276
U02907,R02507
U02907,R03633
U02907,R05717
U02907,R06315
U02907,R02417
U05153,R06107
U05153,R03237
U05153,R00019
U05153,R00844
U05153,R03988
U01456,R01336
U01456,R01253
U01456,R05649
U01456,R06338
U01456,R02225
U05780,R00444
U05780,R01233
U05780,R01388
U05780,R06570
U05780,R01773
U01128,R06353
U01128,R00627
U01128,R01161
U01128,R01560
U01128,R02104
U08050,R00559
U08050,R00255
U08050,R00089
U08050,R06566
U08050,R00609
U07467,R05676
U07467,R01996
U07467,R02356
U07467,R04875
U07467,R01680
U03000,R06160
U03000,R05276
U03000,R06092
U03000,R03661
U03000,R05742
U02220,R01436
U02220,R02512
U02220,R04807
U02220,R00883
U02220,R05608
U00073,R01025
U00073,R00442
U00073,R04502
U00073,R03486
U00073,R03425
U03806,R03967
U03806,R05037
U03806,R02904
U03806,R04362
U03806,R03370
U03858,R04874
U03858,R01338
U03858,R06305
U03858,R05595
U03858,R02477
U07038,R01705
U07038,R04066
U07038,R01003
U07038,R00316
U07038,R02459
U00038,R05181
U00038,R03594
U00038,R03854
U00038,R02417
U00038,R00742
U00725,R00253
U00725,R02435
U00725,R02670
U00725,R02093
U00725,R01099
U00776,R06046
U00776,R01002
U00776,R06444
U00776,R06527
U00776,R05019
U05438,R00615
U05438,R00187
U05438,R01794
U05438,R01348
U05438,R01732
U02164,R05132
U02164,R01364
U02164,R03395
U02164,R01732
U02164,R02085
U06477,R00257
U06477,R02057
U06477,R00765
U06477,R00611
U06477,R00519
U06548,R03246
U06548,R04223
U06548,R01889
U06548,R02052
U06548,R04883
U02225,R00020
U02225,R00144
U02225,R03789
U02225,R01642
U02225,R02940
U01790,R01998
U01790,R04067
U01790,R06560
U01790,R01179
U01790,R05659
U07653,R04320
U07653,R03114
U07653,R05417
U07653,R00325
U07653,R02731
U02624,R01199
U02624,R03246
U02624,R01155
U02624,R04199
U02624,R01701
U04972,R06250
U04972,R00082
U04972,R06414
U04972,R05729
U04972,R05076
U07469,R05782
U07469,R01877
U07469,R03822
U07469,R03777
U07469,R04583
U01432,R03265
U01432,R05895
U01432,R05068
U01432,R02983
U01432,R05388
U03564,R01844
U03564,R01242
U03564,R06202
U03564,R05097
U03564,R00793
U01944,R03515
U01944,R03898
U01944,R04936
U01944,R05329
U01944,R02597
U06463,R04087
U06463,R00486
U06463,R03398
U06463,R06662
U06463,R05109
U06173,R03238
U06173,R03078
U06173,R02632
U06173,R01776
U06173,R00726
U04073,R02790
U04073,R02393
U04073,R04764
U04073,R05829
U04073,R04266
U04661,R04438
U04661,R02932
U04661,R06116
U04661,R04912
U04661,R04368
U05239,R00314
U05239,R04278
U05239,R04725
U05239,R03877
U05239,R02116
U01558,R06557
U01558,R02376
U01558,R05300
U01558,R03772
U01558,R06160
U03586,R00802
U03586,R05104
U03586,R01702
U03586,R03345
U03586,R02825
U03001,R00593
U03001,R02731
U03001,R00641
U03001,R02510
U03001,R02258
U06062,R06564
U06062,R03462
U06062,R01389
U06062,R06300
U06062,R06196
U01470,R02634
U01470,R00773
U01470,R03721
U01470,R03919
U01470,R03939
U07565,R02066
U07565,R04553
U07565,R03828
U07565,R05520
U07565,R06088
U01989,R05676
U01989,R06030
U01989,R01680
U01989,R02545
U01989,R02912
U00722,R05996
U00722,R06403
U00722,R03356
U00722,R06393
U00722,R01642
U07708,R00483
U07708,R04466
U07708,R01700
U07708,R02863
U07708,R01440
U07127,R04424
U07127,R03791
U07127,R00745
U07127,R01252
U07127,R00083
U03326,R02983
U03326,R04123
U03326,R00870
U03326,R05806
U03326,R05933
U01734,R02676
U01734,R04527
U01734,R03918
U01734,R02326
U01734,R02721
U03906,R01815
U03906,R03114
U03906,R00815
U03906,R01597
U03906,R02294
U07759,R06587
U07759,R00198
U07759,R00239
U07759,R02557
U07759,R02477
U06842,R04771
U06842,R02954
U06842,R02220
U06842,R00559
U06842,R01649
U08188,R05371
U08188,R00277
U08188,R02535
U08188,R04696
U08188,R00773
U01018,R01727
U01018,R02814
U01018,R06069
U01018,R02016
U01018,R02133
U06553,R03205
U06553,R00695
U06553,R05476
U06553,R06667
U06553,R05006
U01052,R03999
U01052,R03658
U01052,R06400
U01052,R05462
U01052,R06380
U07824,R05780
U07824,R04018
U07824,R03657
U07824,R06441
U07824,R06484
U08471,R04503
U08471,R02610
U08471,R02794
U08471,R03514
U08471,R02451
U00970,R02604
U00970,R01658
U00970,R05328
U00970,R05960
U00970,R04266
U05941,R00323
U05941,R06095
U05941,R02265
U05941,R02401
U05941,R02393
U00528,R02399
U00528,R06260
U00528,R01994
U00528,R01355
U00528,R03582
U03742,R02426
U03742,R03864
U03742,R06190
U03742,R04087
U03742,R05767
U04347,R01027
U04347,R06632
U04347,R04554
U04347,R01765
U04347,R01503
U07587,R03464
U07587,R04071
U07587,R02030
U07587,R03824
U07587,R03631
U02835,R03743
U02835,R06282
U02835,R00337
U02835,R00888
U02835,R04995
U04187,R05084
U04187,R00961
U04187,R02272
U04187,R02491
U04187,R04927
U00866,R01061
U00866,R01445
U00866,R00277
U00866,R00004
U00866,R00941
U00119,R06380
U00119,R01994
U00119,R04746
U00119,R04366
U00119,R04717
U02445,R01590
U02445,R02410
U02445,R04860
U02445,R03661
U02445,R03553
U02065,R01884
U02065,R00978
U02065,R05119
U02065,R04752
U02065,R01225
U00474,R05601
U00474,R05018
U00474,R00386
U00474,R03441
U00474,R00921
U02096,R04312
U02096,R01494
U02096,R01609
U02096,R01471
U02096,R00207
U07326,R04938
U07326,R01237
U07326,R03184
U07326,R03965
U07326,R05629
U03403,R04123
U03403,R02345
U03403,R04444
U03403,R04150
U03403,R00035
U06826,R04513
U06826,R05034
U06826,R03962
U06826,R05420
U06826,R02359
U01970,R05481
U01970,R01609
U01970,R01444
U01970,R00454
U01970,R04138
U00633,R06195
U00633,R06239
U00633,R02932
U00633,R06515
U00633,R00902
U08413,R04703
U08413,R03996
U08413,R01074
U08413,R04333
U08413,R05569
U06018,R00802
U06018,R03717
U06018,R00464
U06018,R01817
U06018,R00488
U00054,R00458
U00054,R00135
U00054,R03329
U00054,R05338
U00054,R01592
U07457,R00072
U07457,R01634
U07457,R05105
U07457,R00916
U07457,R02989
U00976,R03467
U00976,R04407
U00976,R04662
U00976,R04474
U00976,R02520
U04859,R00796
U04859,R02514
U04859,R05072
U04859,R06282
U04859,R00857
U00048,R01532
U00048,R03070
U00048,R05736
U00048,R04398
U00048,R01518
U06138,R01859
U06138,R03496
U06138,R05414
U06138,R02632
U06138,R05812
U07023,R04473
U07023,R05175
U07023,R05072
U07023,R00095
U07023,R03618
U08274,R00820
U08274,R02888
U08274,R00851
U08274,R02173
U08274,R04895
U00501,R04472
U00501,R05595
U00501,R05702
U00501,R01506
U00501,R05982
U07429,R05745
U07429,R03590
U07429,R01625
U07429,R00804
U07429,R05140
U00267,R05140
U00267,R01036
U00267,R00056
U00267,R02622
U00267,R06278
U05133,R04200
U05133,R00922
U05133,R00056
U05133,R06278
U05133,R03255
U00623,R02610
U00623,R05338
U00623,R01325
U00623,R06358
U00623,R06298
U05105,R02166
U05105,R04555
U05105,R02089
U05105,R03124
