resume_seq,recruitment_seq
U05833,R02806
U05833,R03651
U05833,R01382
U05833,R00097
U05833,R05806
U06456,R05156
U06456,R04767
U06456,R06265
U06456,R04027
U06456,R00523
U07807,R02685
U07807,R00477
U07807,R04160
U07807,R00344
U07807,R05663
U04842,R01292
U04842,R03096
U04842,R03430
U04842,R03151
U04842,R02208
U08336,R03189
U08336,R05725
U08336,R05510
U08336,R05300
U08336,R01103
U03753,R02779
U03753,R02380
U03753,R02430
U03753,R05156
U03753,R05098
U01045,R00487
U01045,R01723
U01045,R00996
U01045,R00565
U01045,R05517
U00825,R04768
U00825,R00313
U00825,R02182
U00825,R04800
U00825,R03195
U07438,R04075
U07438,R01590
U07438,R06270
U07438,R05855
U07438,R00388
U01917,R01431
U01917,R03611
U01917,R00198
U01917,R00370
U01917,R00298
U00357,R03113
U00357,R03615
U00357,R02702
U00357,R02303
U00357,R03658
U05806,R02279
U05806,R03005
U05806,R02130
U05806,R00913
U05806,R06075
U05450,R05609
U05450,R06295
U05450,R00832
U05450,R05792
U05450,R01637
U06130,R02568
U06130,R06353
U06130,R02103
U06130,R02167
U06130,R00548
U01346,R01496
U01346,R00502
U01346,R04528
U01346,R05097
U01346,R04193
U00385,R03014
U00385,R02017
U00385,R02826
U00385,R04776
U00385,R00493
U05824,R05671
U05824,R04549
U05824,R06162
U05824,R05520
U05824,R06053
U06246,R05162
U06246,R02543
U06246,R05814
U06246,R04690
U06246,R01307
U00948,R02822
U00948,R02779
U00948,R05665
U00948,R01584
U00948,R04909
U06687,R05481
U06687,R01431
U06687,R03510
U06687,R02991
U06687,R06291
U04199,R00972
U04199,R04204
U04199,R06484
U04199,R06298
U04199,R04657
U07934,R02189
U07934,R06112
U07934,R05085
U07934,R04842
U07934,R00938
U04227,R03812
U04227,R03538
U04227,R05475
U04227,R04601
U04227,R04507
U06206,R04654
U06206,R06673
U06206,R01200
U06206,R01042
U06206,R00550
U01224,R01838
U01224,R01860
U01224,R06292
U01224,R01081
U01224,R05475
U06389,R03237
U06389,R00842
U06389,R02042
U06389,R01508
U06389,R04394
U07292,R04050
U07292,R03128
U07292,R02412
U07292,R03579
U07292,R02236
U00671,R01535
U00671,R01727
U00671,R00842
U00671,R00680
U00671,R00834
U03148,R01344
U03148,R01225
U03148,R00787
U03148,R03903
U03148,R01407
U08015,R05742
U08015,R01109
U08015,R06321
U08015,R05350
U08015,R06126
U00310,R03927
U00310,R00572
