resume_seq,recruitment_seq
U05833,R00304
U05833,R02806
U05833,R01382
U05833,R03651
U05833,R05618
U06456,R05156
U06456,R00523
U06456,R03611
U06456,R04767
U06456,R05220
U07807,R02685
U07807,R03056
U07807,R00477
U07807,R04708
U07807,R00625
U04842,R03096
U04842,R01215
U04842,R02208
U04842,R03430
U04842,R01292
U08336,R03096
U08336,R05510
U08336,R02497
U08336,R04500
U08336,R03189
U03753,R02885
U03753,R00078
U03753,R05521
U03753,R01701
U03753,R02800
U01045,R03018
U01045,R05484
U01045,R00565
U01045,R00487
U01045,R03617
U00825,R04768
U00825,R04294
U00825,R01660
U00825,R03195
U00825,R02419
U07438,R01102
U07438,R02410
U07438,R06270
U07438,R02642
U07438,R04075
U01917,R01431
U01917,R00277
U01917,R02991
U01917,R05426
U01917,R05702
U00357,R02702
U00357,R02303
U00357,R03122
U00357,R06466
U00357,R03113
U05806,R06075
U05806,R01713
U05806,R04649
U05806,R02279
U05806,R02130
U05450,R00832
U05450,R01767
U05450,R00374
U05450,R05792
U05450,R01741
U06130,R04140
U06130,R03147
U06130,R02815
U06130,R00107
U06130,R02613
U01346,R01877
U01346,R02463
U01346,R03838
U01346,R00112
U01346,R02144
U00385,R05285
U00385,R02017
U00385,R01692
U00385,R04776
U00385,R06662
U05824,R05671
U05824,R06053
U05824,R06213
U05824,R05392
U05824,R05520
U06246,R04690
U06246,R01736
U06246,R02543
U06246,R01535
U06246,R05673
U00948,R01794
U00948,R01584
U00948,R01348
U00948,R02779
U00948,R02822
U06687,R03510
U06687,R05481
U06687,R02991
U06687,R00397
U06687,R02768
U04199,R02432
U04199,R03818
U04199,R03177
U04199,R04915
U04199,R02610
U07934,R03510
U07934,R01772
U07934,R02991
U07934,R05702
U07934,R01794
U04227,R03093
U04227,R03538
U04227,R05475
U04227,R04914
U04227,R03812
U06206,R01741
U06206,R03611
U06206,R01200
U06206,R01637
U06206,R01683
U01224,R06146
U01224,R06160
U01224,R06166
U01224,R05574
U01224,R01860
U06389,R03237
U06389,R05762
U06389,R01508
U06389,R02042
U06389,R02135
U07292,R02412
U07292,R01960
U07292,R01408
U07292,R01081
U07292,R04050
U00671,R03237
U00671,R00844
U00671,R00056
U00671,R01727
U00671,R01535
U03148,R02871
U03148,R01344
U03148,R06332
U03148,R02368
U03148,R00787
U08015,R01103
U08015,R00459
U08015,R01572
U08015,R06174
U08015,R05742
U00310,R03927
U00310,R00572
U00310,R04554
U00310,R06684
U00310,R01290
U04319,R01833
U04319,R05487
U04319,R02670
U04319,R00922
U04319,R00957
U06367,R06075
U06367,R04798
U06367,R02499
U06367,R01614
U06367,R01426
U07627,R01667
U07627,R06595
U07627,R05837
U07627,R05854
U07627,R03307
U05776,R01737
U05776,R00983
U05776,R00815
U05776,R01751
U05776,R03466
U02907,R05895
U02907,R02929
U02907,R02524
U02907,R04222
U02907,R05163
U05153,R00056
U05153,R00844
U05153,R05762
U05153,R03988
U05153,R03237
U01456,R01336
U01456,R01253
U01456,R06338
U01456,R02225
U01456,R03614
U05780,R06570
U05780,R02695
U05780,R01262
U05780,R05124
U05780,R03356
U01128,R05475
U01128,R06231
U01128,R00802
U01128,R04210
U01128,R02815
U08050,R00255
U08050,R00559
U08050,R04066
U08050,R00089
U08050,R02224
U07467,R02356
U07467,R01996
U07467,R05676
U07467,R03105
U07467,R03654
U03000,R06160
U03000,R04119
