resume_seq,recruitment_seq
U06216,R01489
U06216,R01815
U06216,R03687
U06216,R00325
U06216,R02549
U02026,R06134
U02026,R03314
U02026,R04420
U02026,R03610
U02026,R02166
U08375,R01586
U08375,R03303
U08375,R01384
U08375,R02485
U08375,R01381
U08321,R05406
U08321,R06264
U08321,R04763
U08321,R05060
U08321,R04553
U06670,R03571
U06670,R05034
U06670,R02634
U06670,R02940
U06670,R06409
U05333,R04796
U05333,R00236
U05333,R02111
U05333,R02115
U05333,R01902
U07031,R05246
U07031,R01901
U07031,R01149
U07031,R06582
U07031,R06151
U07212,R05094
U07212,R02527
U07212,R01295
U07212,R02086
U07212,R01490
U01500,R05204
U01500,R05735
U01500,R02843
U01500,R02271
U01500,R01770
U04059,R05792
U04059,R01706
U04059,R06373
U04059,R01530
U04059,R02003
U00613,R04602
U00613,R02929
U00613,R05574
U00613,R05461
U00613,R00745
U04047,R02597
U04047,R00574
U04047,R03177
U04047,R04985
U04047,R04494
U01609,R01348
U01609,R03237
U01609,R03510
U01609,R00298
U01609,R05702
U04708,R03677
U04708,R01425
U04708,R02343
U04708,R02785
U04708,R04001
U04189,R01179
U04189,R03910
U04189,R04583
U04189,R03046
U04189,R02619
U06013,R03237
U06013,R00466
U06013,R06582
U06013,R03442
U06013,R03046
U05720,R01064
U05720,R05796
U05720,R03495
U05720,R01440
U05720,R03014
U07045,R04763
U07045,R06685
U07045,R04013
U07045,R02154
U07045,R04420
U04667,R00844
U04667,R02135
U04667,R03764
U04667,R03288
U04667,R01577
U02936,R06547
U02936,R04518
U02936,R06403
U02936,R05340
U02936,R01956
U00501,R02768
U00501,R05702
U00501,R04121
U00501,R00615
U00501,R01431
U04461,R03939
U04461,R03678
U04461,R03649
U04461,R04200
U04461,R03662
U04624,R01081
U04624,R01323
U04624,R03958
U04624,R04594
U04624,R02729
U01296,R02779
U01296,R05156
U01296,R05418
U01296,R04205
U01296,R03246
U02790,R04780
U02790,R04086
U02790,R05076
U02790,R00760
U02790,R00082
U01041,R05792
U01041,R06652
U01041,R05225
U01041,R00314
U01041,R01331
U02599,R02420
U02599,R00559
U02599,R04348
U02599,R04086
U02599,R01231
U04196,R01214
U04196,R05714
U04196,R04771
U04196,R00970
U04196,R01955
U01583,R01231
U01583,R00074
U01583,R00039
U01583,R03194
U01583,R03639
U03686,R04925
U03686,R05895
U03686,R05806
U03686,R06288
U03686,R02279
U07044,R01214
U07044,R01071
U07044,R01901
U07044,R04771
U07044,R03190
U07374,R02929
U07374,R04839
U07374,R05610
U07374,R06015
U07374,R06682
U03089,R00615
U03089,R05702
U03089,R04200
U03089,R00056
U03089,R02822
U03153,R03879
U03153,R01938
U03153,R05076
U03153,R00394
U03153,R03288
U06083,R04072
U06083,R05880
U06083,R05051
U06083,R06405
U06083,R02170
U03332,R02735
U03332,R06257
U03332,R05151
U03332,R03515
U03332,R05450
U05129,R05568
U05129,R01778
U05129,R02184
U05129,R04153
U05129,R04390
U05363,R03099
U05363,R02208
U05363,R01103
U05363,R02671
U05363,R00844
U00630,R05076
U00630,R04689
U00630,R03623
U00630,R03023
U00630,R04771
U04227,R03538
U04227,R06349
U04227,R05880
U04227,R00815
U04227,R05475
U07780,R01484
U07780,R06521
U07780,R01859
U07780,R04013
U07780,R04503
U05475,R00844
U05475,R01727
U05475,R04689
U05475,R02814
U05475,R03988
U01743,R06670
U01743,R02536
U01743,R01244
U01743,R02141
U01743,R01913
U01597,R01884
U01597,R05285
U01597,R06670
U01597,R01489
U01597,R01924
U03498,R03286
U03498,R04767
U03498,R05156
U03498,R03246
U03498,R04129
U04486,R03237
U04486,R06352
U04486,R00432
U04486,R00830
U04486,R00773
U04160,R00349
U04160,R01552
U04160,R04278
U04160,R05327
U04160,R02595
U03035,R03237
U03035,R03939
U03035,R05023
U03035,R00466
U03035,R04478
U08414,R00559
U08414,R03925
U08414,R00609
U08414,R01331
U08414,R00314
U02916,R00122
U02916,R05319
U02916,R00531
U02916,R02496
U02916,R06295
U01670,R04582
U01670,R00716
U01670,R03481
U01670,R03617
U01670,R01383
U06081,R04709
U06081,R05225
U06081,R06573
U06081,R03782
U06081,R03098
U04243,R00559
U04243,R02105
U04243,R01214
U04243,R04771
U04243,R03418
U07424,R04843
U07424,R00544
U07424,R02158
U07424,R00376
U07424,R03269
U05267,R05017
U05267,R01561
U05267,R05508
U05267,R02325
U05267,R06620
U01071,R04764
U01071,R03611
U01071,R01383
U01071,R03115
U01071,R03246
U03146,R06298
U03146,R02609
U03146,R00914
U03146,R04853
U03146,R05942
U04068,R05296
U04068,R06349
U04068,R05689
U04068,R06670
U04068,R05659
U07739,R05776
U07739,R05792
U07739,R03085
U07739,R04108
U07739,R00374
U07906,R06082
U07906,R05895
U07906,R02891
U07906,R02190
U07906,R06581
U01299,R04074
U01299,R05601
U01299,R01103
U01299,R04774
U01299,R04964
U01870,R03099
U01870,R05054
U01870,R04187
U01870,R03237
U01870,R05022
U05500,R05481
U05500,R04200
U05500,R01348
U05500,R00615
U05500,R06278
U06209,R01214
U06209,R01625
U06209,R03638
U06209,R06294
U06209,R02954
U01541,R01081
U01541,R06092
U01541,R03672
U01541,R04074
U01541,R01070
U00846,R03963
U00846,R03255
U00846,R04564
U00846,R05119
U00846,R01152
U06824,R00559
U06824,R04200
U06824,R02105
U06824,R03510
U06824,R00663
U05486,R01677
U05486,R03959
U05486,R03266
U05486,R01642
U05486,R03677
U07824,R03854
U07824,R05780
U07824,R05002
U07824,R05411
U07824,R01121
U06634,R01036
U06634,R02477
U06634,R00292
U06634,R03899
U06634,R00737
U00008,R04200
U00008,R02477
U00008,R01103
U00008,R01214
U00008,R02991
