resume_seq,recruitment_seq
U05833,R01062
U05833,R01351
U05833,R04444
U05833,R06522
U05833,R02049
U06456,R04519
U06456,R03207
U06456,R04874
U06456,R00239
U06456,R05595
U07807,R02135
U07807,R03663
U07807,R05076
U07807,R05762
U07807,R06585
U04842,R04602
U04842,R00473
U04842,R04980
U04842,R00969
U04842,R04958
U08336,R04710
U08336,R05461
U08336,R02190
U08336,R00802
U08336,R06126
U03753,R01183
U03753,R01727
U03753,R00056
U03753,R04135
U03753,R05022
U01045,R03318
U01045,R02984
U01045,R01334
U01045,R06025
U01045,R00691
U00825,R01081
U00825,R02729
U00825,R03356
U00825,R01960
U00825,R05325
U07438,R01489
U07438,R06419
U07438,R06221
U07438,R02019
U07438,R03108
U01917,R03041
U01917,R01561
U01917,R06661
U01917,R04629
U01917,R01609
U00357,R03249
U00357,R02262
U00357,R05942
U00357,R02695
U00357,R06358
U05806,R04444
U05806,R05175
U05806,R03347
U05806,R04710
U05806,R06324
U05450,R02535
U05450,R06388
U05450,R02189
U05450,R02622
U05450,R05702
U06130,R06092
U06130,R05574
U06130,R00802
U06130,R04602
U06130,R04594
U01346,R01497
U01346,R01103
U01346,R05552
U01346,R05689
U01346,R05791
U00385,R06644
U00385,R05820
U00385,R06311
U00385,R01293
U00385,R05923
U05824,R00119
U05824,R00057
U05824,R04884
U05824,R00870
U05824,R02117
U06246,R00087
U06246,R06413
U06246,R00513
U06246,R02814
U06246,R05212
U00948,R04167
U00948,R02671
U00948,R06430
U00948,R06500
U00948,R00168
U06687,R04662
U06687,R02977
U06687,R00180
U06687,R01548
U06687,R01021
U04199,R03264
U04199,R05629
U04199,R05691
U04199,R04841
U04199,R01389
U07934,R03662
U07934,R01383
U07934,R02172
U07934,R00198
U07934,R03243
U04227,R05175
U04227,R05728
U04227,R04074
U04227,R04184
U04227,R06588
U06206,R02330
U06206,R00187
U06206,R03590
U06206,R04547
U06206,R00941
U01224,R01702
U01224,R01103
U01224,R01070
U01224,R03661
U01224,R06231
U06389,R04829
U06389,R02348
U06389,R01098
U06389,R00541
U06389,R06250
U07292,R02825
U07292,R06680
U07292,R05475
U07292,R04142
U07292,R05725
U00671,R03678
U00671,R00609
U00671,R03058
U00671,R03832
U00671,R05110
U03148,R03094
U03148,R05040
U03148,R02622
U03148,R01489
U03148,R02907
U08015,R03290
U08015,R05061
U08015,R04460
U08015,R04063
U08015,R02365
U00310,R05525
U00310,R05582
U00310,R01574
U00310,R01367
U00310,R05464
U04319,R06278
U04319,R00277
U04319,R05883
U04319,R04472
U04319,R04705
U06367,R01551
U06367,R04839
U06367,R06427
U06367,R05942
U06367,R03743
U07627,R01458
U07627,R01331
U07627,R05311
U07627,R04401
U07627,R04200
U05776,R03940
U05776,R03924
U05776,R06445
U05776,R00083
U05776,R00827
U02907,R05175
U02907,R00912
U02907,R03540
U02907,R00493
U02907,R00126
U05153,R01307
U05153,R04828
U05153,R06669
U05153,R01071
U05153,R04038
U01456,R03650
U01456,R01727
U01456,R05022
U01456,R03442
U01456,R04955
U05780,R04802
U05780,R03794
U05780,R04908
U05780,R03774
U05780,R05213
U01128,R02412
U01128,R04050
U01128,R05689
U01128,R00464
U01128,R05742
U08050,R00463
U08050,R00939
U08050,R06500
U08050,R04278
U08050,R03662
U07467,R01537
U07467,R00606
U07467,R05036
U07467,R06155
U07467,R06419
U03000,R01198
U03000,R05898
U03000,R04860
U03000,R02204
U03000,R01692
U02220,R03238
U02220,R01250
U02220,R02628
U02220,R03097
U02220,R01364
U00073,R01383
U00073,R02172
U00073,R02782
U00073,R02991
U00073,R02690
U03806,R05538
U03806,R05119
U03806,R00414
U03806,R04486
U03806,R00083
U03858,R02075
U03858,R00253
U03858,R01625
U03858,R02293
U03858,R04797
U07038,R01969
U07038,R00586
U07038,R02917
U07038,R01535
U07038,R05714
U00038,R03177
U00038,R02610
U00038,R04264
U00038,R02497
U00038,R02597
U00725,R01036
U00725,R02477
U00725,R03590
U00725,R00277
U00725,R03649
U00776,R01837
U00776,R00871
U00776,R00959
U00776,R03449
U00776,R05468
U05438,R02339
U05438,R00827
U05438,R03531
U05438,R00599
U05438,R00578
U02164,R05580
U02164,R03041
U02164,R03531
U02164,R05551
U02164,R00663
U06477,R04915
U06477,R03356
U06477,R04717
U06477,R06392
U06477,R04451
U06548,R00187
U06548,R05481
U06548,R05487
U06548,R00463
U06548,R02334
U02225,R03774
U02225,R03244
U02225,R02188
U02225,R03854
U02225,R01328
U01790,R04857
U01790,R01103
U01790,R02769
U01790,R00034
U01790,R05460
U07653,R02426
U07653,R03790
U07653,R00072
U07653,R04066
U07653,R04486
U02624,R02593
U02624,R02105
U02624,R00581
U02624,R01348
U02624,R02251
U04972,R00842
U04972,R03650
U04972,R00278
U04972,R04955
U04972,R05688
U07469,R01727
U07469,R03650
U07469,R01774
U07469,R05635
U07469,R06286
U01432,R01819
U01432,R06239
U01432,R01761
U01432,R01058
U01432,R04420
U03564,R04264
U03564,R04041
U03564,R00574
U03564,R03493
U03564,R02632
U01944,R01994
U01944,R06183
U01944,R06545
U01944,R05175
U01944,R02735
U06463,R05060
U06463,R03540
U06463,R04155
U06463,R02186
U06463,R06666
U06173,R03314
U06173,R06134
U06173,R03642
U06173,R03496
U06173,R03944
U04073,R02991
U04073,R00773
U04073,R05441
U04073,R05062
U04073,R03871
U04661,R01086
U04661,R04420
U04661,R02632
U04661,R05365
U04661,R01455
U05239,R03590
U05239,R03643
U05239,R03925
U05239,R05745
U05239,R01214
U01558,R06071
U01558,R02963
U01558,R01041
U01558,R06534
U01558,R03328
U03586,R02412
U03586,R06174
U03586,R06126
U03586,R04458
U03586,R05423
U03001,R02991
U03001,R02670
U03001,R02822
U03001,R03114
U03001,R06650
U06062,R03642
U06062,R05243
U06062,R03646
U06062,R06270
U06062,R03944
U01470,R04771
U01470,R06405
U01470,R06383
U01470,R00056
U01470,R01667
U07565,R03678
U07565,R00057
U07565,R00951
U07565,R01855
U07565,R00773
U01989,R06419
U01989,R06617
U01989,R00432
U01989,R03903
U01989,R05463
U00722,R00580
U00722,R04915
U00722,R02900
U00722,R00942
U00722,R03347
U07708,R03098
U07708,R01701
U07708,R03939
U07708,R02134
U07708,R05328
U07127,R01645
U07127,R06175
U07127,R02190
U07127,R02356
U07127,R05475
U03326,R02932
U03326,R00644
U03326,R05335
U03326,R01819
U03326,R01455
U01734,R03946
U01734,R04548
U01734,R05280
U01734,R05917
U01734,R00568
U03906,R06349
U03906,R06376
U03906,R01590
U03906,R00632
U03906,R00094
U07759,R02052
U07759,R03534
U07759,R05311
U07759,R06467
U07759,R00565
U06842,R04066
U06842,R05943
U06842,R00614
U06842,R05652
U06842,R02330
U08188,R01095
U08188,R05961
U08188,R06285
U08188,R00599
U08188,R05171
U01018,R02640
U01018,R06566
U01018,R02046
U01018,R01802
U01018,R02905
U06553,R01273
U06553,R00730
U06553,R02484
U06553,R02020
U06553,R05517
U01052,R05535
U01052,R02262
U01052,R00914
U01052,R01994
U01052,R05376
U07824,R00693
U07824,R01554
U07824,R03264
U07824,R05337
U07824,R00524
U08471,R04904
U08471,R05449
U08471,R02011
U08471,R03333
U08471,R04677
U00970,R01431
U00970,R06278
U00970,R00615
U00970,R00277
U00970,R01364
U05941,R03147
U05941,R02730
U05941,R03425
U05941,R01499
U05941,R02555
U00528,R05796
U00528,R03268
U00528,R04856
U00528,R00824
U00528,R06380
U03742,R02477
U03742,R04960
U03742,R05851
U03742,R03333
U03742,R04463
U04347,R03505
U04347,R04338
U04347,R02635
U04347,R03177
U04347,R04841
U07587,R04123
U07587,R04150
U07587,R00644
U07587,R01216
U07587,R02527
U02835,R01403
U02835,R06622
U02835,R04735
U02835,R01369
U02835,R01614
U04187,R00221
U04187,R01625
U04187,R03237
U04187,R02856
U04187,R01811
U00866,R05426
U00866,R06278
U00866,R01036
U00866,R00614
U00866,R02519
U00119,R02665
U00119,R05500
U00119,R02349
U00119,R03329
U00119,R06002
U02445,R05119
U02445,R01913
U02445,R06339
U02445,R05475
U02445,R02204
U02065,R04864
U02065,R04320
U02065,R05888
U02065,R06133
U02065,R05024
U00474,R05083
U00474,R05725
U00474,R01368
U00474,R01387
U00474,R01707
U02096,R04472
U02096,R00210
U02096,R05537
U02096,R00438
U02096,R00463
U07326,R01136
U07326,R01242
U07326,R03493
U07326,R05168
U07326,R01334
U03403,R05895
U03403,R05461
U03403,R02932
U03403,R05068
U03403,R02514
U06826,R05203
U06826,R02794
U06826,R03789
U06826,R03322
U06826,R04124
U01970,R04514
U01970,R01940
U01970,R05319
U01970,R03925
U01970,R02495
U00633,R02154
U00633,R05133
U00633,R02806
U00633,R03199
U00633,R05675
U08413,R01081
U08413,R02412
U08413,R02729
U08413,R01702
U08413,R00313
U06018,R01103
U06018,R01081
U06018,R03672
U06018,R03621
U06018,R04074
U00054,R06358
U00054,R01712
U00054,R00286
U00054,R01332
U00054,R02504
U07457,R02249
U07457,R05820
U07457,R03461
U07457,R04841
U07457,R04641
U00976,R02993
U00976,R05140
U00976,R02593
U00976,R03310
U00976,R06289
U04859,R01642
U04859,R01551
U04859,R05203
U04859,R04802
U04859,R00473
U00048,R02485
U00048,R05475
U00048,R05939
U00048,R00432
U00048,R03903
U06138,R04638
U06138,R02961
U06138,R03225
U06138,R05253
U06138,R06454
U07023,R06020
U07023,R04649
U07023,R02056
U07023,R00173
U07023,R04595
U08274,R06042
U08274,R04689
U08274,R05271
U08274,R01736
U08274,R03664
U00501,R02582
U00501,R05171
U00501,R04269
U00501,R05476
U00501,R01483
U07429,R00827
U07429,R04252
U07429,R02490
U07429,R05310
U07429,R05682
U00267,R05310
U00267,R02671
U00267,R00452
U00267,R03998
U00267,R05220
U05133,R00047
U05133,R01349
U05133,R00721
U05133,R04662
U05133,R02703
U00623,R01794
U00623,R01619
U00623,R04013
U00623,R04722
U00623,R00397
U05105,R01208
U05105,R04407
U05105,R01653
U05105,R03642
U05105,R04046
U02705,R02412
U02705,R01081
U02705,R05728
U02705,R05725
U02705,R06160
U03772,R00773
U03772,R06636
U03772,R02224
U03772,R06294
U03772,R01028
U03411,R05747
U03411,R05585
U03411,R03311
U03411,R01892
U03411,R04904
U07907,R01537
U07907,R06419
U07907,R05268
U07907,R05417
U07907,R03906
U07402,R02812
U07402,R00348
U07402,R00666
U07402,R04762
U07402,R01575
U01321,R00187
U01321,R01241
U01321,R06305
U01321,R02768
U01321,R01732
U04424,R02694
U04424,R06209
U04424,R06294
U04424,R06032
U04424,R05537
U04666,R06013
U04666,R00239
U04666,R05665
U04666,R06587
U04666,R04662
U07368,R04743
U07368,R04568
U07368,R06058
U07368,R02824
U07368,R00997
U05138,R03623
U05138,R03510
U05138,R02075
U05138,R05714
U05138,R00808
U05562,R02962
U05562,R02585
U05562,R04463
