user_id,item_id
U16127,P00020
U16127,P00006
U16127,P01972
U16127,P00133
U16127,P00001
U28891,P00020
U28891,P01972
U28891,P00006
U28891,P00219
U28891,P00453
U01934,P00006
U01934,P00002
U01934,P00219
U01934,P02456
U01934,P02632
U22546,P00020
U22546,P00002
U22546,P00219
U22546,P03037
U22546,P01958
U15740,P00020
U15740,P01972
U15740,P00133
U15740,P00562
U15740,P00006
U08453,P00020
U08453,P00219
U08453,P00946
U08453,P00002
U08453,P02092
U12767,P00020
U12767,P00006
U12767,P00133
U12767,P00001
U12767,P00219
U09903,P00020
U09903,P00133
U09903,P00219
U09903,P01972
U09903,P00006
U22897,P00020
U22897,P00133
U22897,P00467
U22897,P00002
U22897,P01972
U26566,P00133
U26566,P00020
U26566,P00453
U26566,P01101
U26566,P00222
U03174,P00020
U03174,P00133
U03174,P01972
U03174,P00219
U03174,P00001
U25903,P00020
U25903,P00133
U25903,P01972
U25903,P00006
U25903,P00219
U14167,P00020
U14167,P01972
U14167,P00001
U14167,P00133
U14167,P00006
U03120,P00006
U03120,P01972
U03120,P00219
U03120,P00133
U03120,P00002
U16611,P00562
U16611,P01972
U16611,P00002
U16611,P00219
U16611,P00133
U24294,P00020
U24294,P01972
U24294,P00001
U24294,P00224
U24294,P00219
U10246,P00020
U10246,P01972
U10246,P00006
U10246,P00001
U10246,P01684
U25664,P00020
U25664,P01972
U25664,P00219
U25664,P00001
U25664,P00002
U02610,P00020
U02610,P01972
U02610,P00133
U02610,P00219
U02610,P00001
U01798,P00020
U01798,P01972
U01798,P00133
U01798,P00219
U01798,P00562
U09724,P00001
U09724,P00133
U09724,P01972
U09724,P00219
U09724,P00562
U14226,P00020
U14226,P00133
U14226,P00219
U14226,P01972
U14226,P00002
U19597,P01972
U19597,P00020
U19597,P00219
U19597,P00133
U19597,P00453
U02877,P00020
U02877,P00133
U02877,P00219
U02877,P00001
U02877,P00595
U20966,P00020
U20966,P01972
U20966,P00219
U20966,P00006
U20966,P00133
U13348,P02687
U13348,P01053
U13348,P01814
U13348,P02051
U13348,P01297
U29552,P00020
U29552,P00196
U29552,P00081
U29552,P01809
U29552,P00595
U12905,P00006
U12905,P01972
U12905,P00133
U12905,P00001
U12905,P00219
U22303,P00020
U22303,P00006
U22303,P01972
U22303,P00133
U22303,P00001
U07283,P00020
U07283,P00006
U07283,P01972
U07283,P00133
