user_id,item_ids
U16127,P00020 P00006 P01972 P00133 P00001
U28891,P00020 P01972 P00006 P00219 P00453
U01934,P00006 P00002 P00219 P02456 P02632
U22546,P00020 P00002 P00219 P03037 P01958
U15740,P00020 P01972 P00133 P00562 P00006
U08453,P00020 P00219 P00946 P00002 P02092
U12767,P00020 P00006 P00133 P00001 P00219
U09903,P00020 P00133 P00219 P01972 P00006
U22897,P00020 P00133 P00467 P00002 P01972
U26566,P00133 P00020 P00453 P01101 P00222
U03174,P00020 P00133 P01972 P00219 P00001
U25903,P00020 P00133 P01972 P00006 P00219
U14167,P00020 P01972 P00001 P00133 P00006
U03120,P00006 P01972 P00219 P00133 P00002
U16611,P00562 P01972 P00002 P00219 P00133
U24294,P00020 P01972 P00001 P00224 P00219
U10246,P00020 P01972 P00006 P00001 P01684
U25664,P00020 P01972 P00219 P00001 P00002
U02610,P00020 P01972 P00133 P00219 P00001
U01798,P00020 P01972 P00133 P00219 P00562
U09724,P00001 P00133 P01972 P00219 P00562
U14226,P00020 P00133 P00219 P01972 P00002
U19597,P01972 P00020 P00219 P00133 P00453
U02877,P00020 P00133 P00219 P00001 P00595
U20966,P00020 P01972 P00219 P00006 P00133
U13348,P02687 P01053 P01814 P02051 P01297
U29552,P00020 P00196 P00081 P01809 P00595
U12905,P00006 P01972 P00133 P00001 P00219
U22303,P00020 P00006 P01972 P00133 P00001
U07283,P00020 P00006 P01972 P00133 P00219
U12153,P00020 P01972 P00133 P00219 P00562
U18424,P00020 P01972 P00006 P00219 P00196
U07634,P00020 P00133 P00219 P00006 P01972
U25694,P01972 P00006 P00001 P00219 P00133
U24917,P00006 P01972 P00219 P00001 P00002
U20643,P00020 P00219 P00006 P00133 P00001
U08318,P00133 P00020 P01972 P00219 P00006
U03735,P00020 P01972 P00001 P00006 P00133
U20467,P00467 P01684 P02654 P00123 P01909
U01257,P00006 P00001 P00133 P00219 P00196
U18559,P01972 P00006 P00133 P00219 P00001
U16930,P00020 P00219 P02172 P02537 P00467
U28720,P00020 P01972 P00001 P00219 P00133
U21215,P00020 P00133 P00006 P00219 P00562
U01952,P00020 P00133 P01972 P00562 P00002
U29288,P00133 P00020 P01972 P00001 P00562
U09527,P00219 P00079 P02835 P00222 P01763
U27699,P01380 P00020 P01972 P00006 P00219
U04213,P00006 P00219 P00001 P01972 P00133
U25679,P01589 P01972 P00227 P02134 P01897
U17070,P00020 P01972 P00219 P00006 P00001
U28789,P00020 P00133 P00006 P00219 P00467
U16636,P00020 P00006 P01972 P00133 P00219
U03280,P02248 P02875 P02852 P01974 P02707
U23287,P00020 P00001 P01972 P00006 P00219
U13988,P00020 P01972 P00006 P00562 P00133
U10918,P00020 P01972 P00006 P00219 P00562
U19292,P01972 P00038 P00020 P01840 P00224
U29274,P00001 P00020 P01097 P00954 P01371
U17465,P00020 P01972 P01684 P00006 P00196
U05521,P01972 P00765 P01677 P00911 P01300
U11063,P00020 P00133 P00219 P00006 P01972
U22094,P00020 P00133 P00219 P00006 P00002
U04310,P00020 P00133 P01972 P00001 P00219
U11146,P02159 P00562 P00006 P00020 P02382
U14789,P00133 P00006 P01972 P00020 P01371
U15734,P00020 P01972 P00133 P00001 P00196
U11458,P00020 P00133 P00006 P00219 P00001
U02677,P00133 P00020 P01972 P00219 P00006
U03761,P00020 P00133 P00001 P00006 P01972
U00118,P00020 P01972 P00006 P00562 P00133
U04657,P00020 P00006 P00133 P01972 P00219
U26262,P00020 P00006 P00133 P00219 P01972
U26276,P00020 P00133 P00006 P00219 P00002
U03227,P00020 P00006 P01972 P02159 P00196
U16605,P00020 P00133 P01972 P00006 P00001
U22243,P00020 P01972 P00219 P00006 P00001
U25545,P00133 P00006 P00001 P00002 P00196
U28548,P00020 P00133 P01972 P00001 P00219
U16392,P00464 P02499 P00563 P02880 P00585
U21655,P00020 P01972 P00133 P00006 P00562
U16814,P00133 P00562 P00020 P01972 P00006
U06137,P00020 P01972 P00196 P00006 P00001
U29331,P00006 P00020 P00003 P00562 P02159
U07710,P00020 P00133 P01972 P00006 P00001
U00816,P00020 P01972 P00219 P00006 P00562
U23682,P00020 P00006 P00133 P01972 P00196
U28278,P00020 P01972 P00133 P00006 P00001
U03728,P01917 P02204 P01763 P00133 P01388
U22122,P00020 P00006 P00133 P01972 P00219
U18997,P00006 P01972 P00001 P02159 P00002
U11674,P01976 P02008 P00225 P00102 P01198
U16778,P00020 P00467 P01910 P02537 P00219
U23342,P00020 P00467 P00006 P00386 P01910
U22498,P02565 P01155 P02463 P03003 P01361
U24122,P00020 P00006 P00219 P00002 P00467
U10213,P01976 P01256 P00018 P00930 P02340
U13225,P00020 P00006 P01972 P00219 P00133
U13282,P00020 P00219 P01972 P00001 P00006
U09395,P00020 P01972 P00133 P00001 P00006
U05061,P00020 P00002 P00006 P00562 P00219
U26622,P00020 P01972 P00133 P00006 P00001
U28839,P00133 P00020 P00467 P00006 P01972
U01532,P00219 P00006 P00562 P00020 P03156
U20638,P00006 P01972 P00133 P00001 P00219
U01193,P00020 P00133 P00006 P00001 P00196
U15833,P01972 P00006 P00133 P00001 P00002
U12487,P00020 P00133 P01972 P00562 P00219
U25956,P00006 P00133 P01972 P00020 P00001
U23899,P00020 P00562 P00133 P00270 P00454
U12324,P00020 P01972 P00006 P00133 P00219
U27038,P00020 P00133 P01972 P00001 P00219
U01070,P00006 P01972 P00133 P00001 P00219
U18181,P01972 P00562 P00020 P00133 P00006
U03027,P00020 P00006 P00219 P00001 P00002
U25079,P00020 P00133 P00219 P00006 P00001
U01386,P01972 P00020 P00219 P00133 P00006
U19602,P00020 P00133 P00006 P00002 P00562
U04681,P01402 P00875 P01531 P00226 P00892
U03740,P00020 P00562 P01972 P00946 P03158
U14729,P00006 P00133 P00219 P00001 P00002
U13018,P00020 P01972 P00133 P00001 P00219
U19436,P01972 P02037 P01763 P03158 P00219
U20815,P01901 P00816 P00550 P01547 P01632
U24785,P00020 P00133 P00001 P00219 P01972
U11819,P00020 P01972 P01684 P00219 P00133
U09037,P00020 P01972 P00006 P00219 P00001
U10867,P00020 P01972 P01684 P00006 P00196
U26327,P00020 P00133 P00006 P00001 P00219
U05641,P00006 P00133 P00219 P00001 P00595
U05052,P00020 P01972 P00219 P00006 P00001
U23068,P00020 P00133 P01972 P00001 P00562
U16345,P00020 P00133 P00006 P00196 P00001
U01431,P00020 P00133 P00006 P00219 P00196
U01432,P00020 P00133 P00219 P00001 P01972
U12400,P00020 P00196 P00001 P01972 P00006
U03964,P00133 P00006 P00001 P00196 P00562
U22062,P00020 P01972 P00001 P00006 P00196
U28721,P00020 P00133 P01972 P00006 P00001
U17216,P00020 P00133 P01972 P00006 P03186
U28539,P00020 P00133 P00219 P00006 P00001
U03441,P00020 P00133 P01972 P00001 P00219
U07745,P00020 P00133 P00006 P00219 P00002
U03038,P00563 P00006 P01917 P01684 P00562
U11869,P00020 P01972 P00219 P00001 P00224
U14043,P00020 P00133 P01972 P00006 P00001
U08225,P00020 P00006 P00133 P00219 P00002
U00289,P00020 P00133 P01972 P00006 P00219
U29914,P00020 P00006 P00001 P00467 P00219
U24085,P00006 P01972 P00001 P00133 P00219
U17403,P00020 P00219 P00133 P00562 P00006
U01158,P00020 P01972 P00001 P02159 P00006
U00348,P00467 P00002 P02537 P01763 P00595
U04978,P00006 P01972 P00219 P00196 P00562
U14771,P00020 P00133 P01972 P00219 P00001
U12264,P00020 P00133 P01972 P00467 P00008
U23544,P00020 P01972 P00001 P00133 P00219
U13599,P00020 P00006 P00133 P00001 P00562
U25048,P00020 P00133 P01972 P00219 P00006
U24461,P00020 P01972 P00006 P00133 P00001
U27594,P00133 P00020 P00219 P00520 P03122
U14112,P00020 P00133 P00006 P00219 P00001
U10777,P00020 P00133 P00006 P00219 P00001
U01802,P00020 P01972 P00133 P00006 P00001
U06750,P00020 P00133 P01972 P00219 P00006
U14421,P00020 P02119 P00224 P00001 P01972
U20343,P00020 P01972 P00006 P00219 P00562
U12397,P00020 P00006 P01972 P00219 P00562
U28522,P00020 P00133 P00219 P00006 P00001
U21069,P00020 P00467 P00562 P00081 P00002
U27114,P00020 P00133 P00006 P00196 P00001
U16767,P00133 P00006 P00219 P00001 P00002
U25318,P00020 P00133 P00219 P00006 P00001
U25338,P00020 P01972 P00006 P00133 P00219
U03952,P00020 P00219 P01813 P00133 P00196
U28554,P00020 P00133 P00006 P00219 P00002
U03758,P00006 P01972 P00001 P00133 P00219
U09301,P00020 P00133 P00219 P00006 P00001
U27136,P00562 P00006 P00020 P00219 P00133
U19941,P00020 P00133 P00001 P00219 P01972
U23414,P00020 P03037 P01380 P00006 P01972
U07072,P03026 P01972 P02001 P01977 P00224
U27037,P00020 P02656 P01951 P01913 P00139
U00265,P00006 P01972 P00133 P00001 P00219
U10487,P00020 P00006 P00002 P00219 P00133
U05244,P00020 P00133 P00006 P00219 P00001
U02509,P00020 P01972 P00133 P00006 P00001
U09818,P00020 P01972 P00001 P00133 P00006
U29266,P00951 P00219 P02062 P02092 P00220
U22073,P00020 P01972 P00006 P00219 P00002
U10535,P00020 P00133 P00006 P00219 P00001
U16306,P01972 P00133 P00006 P00002 P00219
U12542,P00133 P00219 P00006 P01972 P03125
U20633,P03083 P00562 P00219 P00006 P00020
U19771,P00020 P00006 P01972 P00219 P00133
U17697,P00020 P00562 P00219 P00006 P01972
U17104,P00006 P01972 P00001 P00133 P00219
U11275,P00020 P00006 P00219 P00002 P00133
U08188,P00020 P00006 P00133 P00219 P00002
U05207,P00020 P01972 P00133 P00219 P00001
U29218,P00020 P00219 P00133 P00001 P01972
U11757,P00020 P00562 P00006 P00219 P01972
U09420,P00020 P00133 P00006 P00219 P00001
U22319,P00020 P01972 P00006 P00001 P00219
U24518,P01972 P00020 P02166 P00006 P00133
U15297,P00020 P00006 P01972 P00002 P00196
U12428,P00006 P00133 P01972 P00001 P00219
U24760,P00219 P00020 P00001 P00006 P00133
U18763,P00006 P00133 P00001 P01972 P00219
U29415,P00020 P01972 P00006 P00001 P00219
U17010,P00020 P00133 P01972 P00219 P00006
U23339,P00006 P01972 P00133 P00001 P00219
U07679,P00020 P00219 P00801 P00467 P00562
U01646,P01972 P00467 P00001 P00006 P00133
U28728,P00020 P00133 P00219 P00006 P00002
U27680,P00020 P01972 P00219 P00006 P00001
U03772,P00020 P01972 P00006 P00196 P00001
U24395,P00020 P00133 P01972 P00001 P00562
U08615,P00020 P01972 P00006 P00219 P00133
U00608,P00219 P00133 P01972 P02159 P00020
U09886,P01972 P00562 P00133 P00219 P00001
U05472,P01972 P00020 P00219 P00133 P00006
U04633,P00999 P02134 P02644 P02037 P00219
U27608,P00020 P01972 P00133 P00006 P00219
U24637,P00020 P00133 P01972 P00006 P00467
U10424,P00020 P00006 P01972 P00219 P00562
U29384,P00020 P00219 P00133 P00006 P01972
U08824,P00020 P00219 P00133 P01972 P00006
U00532,P00133 P00020 P01972 P00562 P00006
U29417,P00020 P01972 P00196 P00006 P00001
U00038,P00020 P01972 P00133 P00467 P00001
U25824,P00020 P01972 P00006 P00219 P00001
U20416,P00006 P01972 P00001 P00133 P00219
U02763,P00020 P00006 P00219 P00196 P00001
U11738,P00020 P00219 P00006 P00562 P00196
U00539,P00006 P01972 P00133 P00001 P00219
U17193,P00020 P00133 P00224 P01972 P00219
U14548,P00020 P01972 P00006 P00133 P00219
U10696,P00133 P01972 P00001 P00219 P00196
U11149,P00020 P00133 P00006 P00219 P01972
U19888,P00020 P01972 P00006 P00001 P00196
U27468,P00020 P00006 P00133 P00219 P00001
U20634,P00020 P00133 P00467 P00006 P01972
U05888,P00020 P00219 P00006 P00002 P01972
U06425,P00020 P00133 P00006 P01972 P00002
U25898,P00020 P00595 P00133 P00006 P01972
U12135,P00020 P00001 P00006 P00219 P00133
U03606,P00020 P01972 P00562 P00219 P00001
U21408,P00020 P00001 P01972 P00133 P00219
U12865,P00020 P00001 P01972 P00219 P03158
U17762,P00006 P00133 P03158 P00003 P00453
U03370,P00006 P01972 P00219 P00133 P00001
U22874,P00020 P00133 P00219 P01972 P00006
U00062,P00020 P01972 P00133 P00001 P00006
U26755,P00020 P00001 P00133 P00006 P01972
U27282,P00020 P00133 P01972 P00006 P01212
U22373,P01972 P00006 P00133 P00001 P00219
U10852,P00020 P00006 P00562 P00219 P00001
U26660,P00020 P01972 P00219 P00006 P00001
U19574,P00020 P01972 P00006 P00219 P00133
U25872,P00020 P00006 P00133 P00001 P01972
U11746,P01972 P00020 P02166 P00453 P01100
U06770,P00020 P00133 P01972 P00001 P00006
U27180,P00020 P01763 P01755 P01904 P00453
U06113,P00020 P01972 P00006 P00133 P00001
U20968,P00020 P00006 P01972 P00133 P00562
U11134,P01834 P00467 P02223 P00020 P01980
U20851,P00020 P01972 P00219 P01897 P00002
U18474,P00020 P00133 P01972 P00006 P00219
U08891,P00020 P00133 P00219 P00001 P00006
U15803,P00020 P00006 P00133 P00002 P00219
U18996,P00020 P00133 P01972 P00006 P00001
U16060,P00020 P00001 P01972 P00219 P00133
U13931,P00020 P00133 P01972 P00219 P00001
U11171,P00020 P00133 P00006 P01972 P00219
U13553,P00020 P01972 P00001 P00219 P00595
U09163,P00020 P00006 P01972 P00219 P00001
U11456,P01432 P02115 P00291 P00951 P00134
U00196,P00020 P01972 P00196 P00219 P00006
U02888,P00020 P01972 P00219 P00133 P00196
U24426,P00020 P01972 P00006 P00133 P00196
U23597,P00020 P00133 P01972 P00001 P00219
U13836,P00020 P00219 P00001 P00133 P00006
U19140,P00020 P01972 P00133 P00006 P03158
U00174,P00001 P00020 P00972 P00253 P01555
U16699,P00020 P01972 P00006 P00219 P00002
U07181,P00020 P00219 P00467 P00595 P00562
U01120,P00020 P01972 P00006 P00219 P00001
U14136,P00020 P01972 P00006 P00219 P00001
U15177,P03122 P03158 P01390 P02979 P01606
U29538,P00020 P00006 P00133 P00001 P00003
U03882,P01770 P01809 P00008 P00467 P02109
U02283,P00020 P01972 P00006 P00133 P00001
U13955,P00020 P01972 P00006 P00219 P00133
U23131,P01972 P00020 P00956 P00084 P02537
U15078,P01972 P00020 P00006 P00219 P00453
U01487,P00020 P00133 P00219 P01972 P00006
U25463,P00133 P00196 P00020 P00219 P00006
U04332,P00133 P01972 P00001 P00219 P00196
U27720,P00020 P00006 P00196 P01972 P00001
U13503,P00020 P01972 P00001 P00006 P00133
U07658,P00020 P01972 P00006 P00219 P00562
U23061,P00020 P01972 P00006 P00219 P00133
U28277,P00020 P01972 P00133 P00001 P00006
U28493,P00020 P00006 P00133 P00219 P00002
U21891,P00020 P00001 P01972 P00006 P00219
U10524,P00351 P00249 P00951 P01278 P00196
U22761,P00020 P01972 P00196 P00006 P00001
U04622,P00020 P00133 P01972 P00006 P00001
U28059,P00020 P01972 P00219 P00562 P00002
U03024,P00494 P00883 P02967 P02208 P01749
U08427,P00020 P00219 P00133 P00196 P02159
U02061,P00006 P00133 P01972 P00001 P00219
U19883,P01972 P00006 P00001 P00133 P00219
U24010,P00020 P01972 P02947 P00467 P00562
U29986,P00020 P00006 P01972 P00219 P00562
U24328,P00020 P00001 P01972 P00133 P00219
U20717,P01406 P00006 P01972 P02771 P00015
U18705,P00020 P01972 P00006 P00219 P00001
U20589,P00020 P00133 P00219 P00006 P00002
U14679,P00020 P01972 P00006 P00219 P00467
U15370,P00006 P00001 P01972 P00219 P00133
U24190,P00133 P00006 P00219 P00001 P00196
U00009,P00020 P00133 P00006 P00219 P00001
U02141,P00020 P01972 P00133 P00006 P00219
U28344,P00020 P00219 P01972 P00006 P00001
U23726,P00020 P00133 P00006 P00453 P01972
U17718,P00020 P00224 P00219 P01809 P01972
U04543,P00020 P00133 P00219 P00006 P00562
U00092,P01972 P00006 P00219 P00001 P00562
U20789,P00020 P01972 P00006 P00219 P00453
U14359,P00020 P01972 P00002 P01057 P00219
U12614,P00020 P00008 P00946 P00006 P01312
U28933,P00020 P01972 P00133 P00467 P00002
U07314,P00006 P00219 P00001 P00002 P00196
U06643,P00020 P00133 P00467 P00006 P01972
U13374,P00020 P00133 P00219 P00006 P00002
U16164,P00006 P00133 P00219 P00001 P00002
U18609,P00020 P01972 P00001 P00133 P00006
U10881,P00020 P00001 P01972 P00006 P00219
U05404,P00020 P00133 P01972 P00006 P00001
U08843,P00020 P00219 P00001 P00196 P00002
U01401,P00020 P01972 P00219 P00001 P00562
U27226,P00020 P01972 P00133 P00006 P00219
U12280,P00020 P00133 P01972 P00001 P00219
U26777,P00449 P02731 P02233 P02537 P01972
U23400,P00020 P00133 P01972 P00219 P00001
U00497,P00196 P02568 P00600 P00278 P01630
U10547,P00020 P00133 P00001 P00219 P00562
U09687,P00020 P00219 P01972 P00133 P00001
U10062,P00020 P00133 P00006 P00001 P00562
U13706,P00020 P00133 P01972 P00219 P00001
U16529,P00020 P00133 P01972 P00006 P00219
U28884,P00020 P01972 P00219 P00006 P00001
U00163,P00020 P00006 P01972 P00133 P00219
U28748,P00020 P01972 P00006 P00562 P00219
U08222,P00020 P00133 P00006 P00219 P01972
U23091,P00020 P00133 P00467 P00006 P01972
U08997,P00020 P01972 P00133 P00001 P00467
U07240,P00224 P00196 P00001 P00006 P00020
U18719,P00020 P00006 P00133 P00001 P01972
U15307,P00020 P00133 P01972 P00002 P00001
U06242,P01972 P00006 P00001 P00133 P00219
U26496,P00133 P00001 P01972 P00219 P00196
U24056,P00020 P00006 P00002 P00219 P00133
U19461,P01958 P00219 P01808 P03226 P00951
U05310,P00020 P00006 P01972 P00133 P00219
U03941,P00020 P01972 P00133 P00219 P00562
U25260,P00020 P01972 P00006 P00219 P00453
U15576,P00020 P00133 P01972 P00001 P00467
U01306,P00020 P00006 P01972 P00219 P00562
U04520,P00006 P01972 P00001 P00133 P00196
U02343,P00133 P01972 P00001 P00219 P00467
U06699,P00006 P01972 P00001 P00133 P00219
U11932,P00020 P01972 P00133 P00219 P00001
U10056,P00133 P00001 P01972 P00219 P00196
U05987,P00020 P01972 P00133 P00196 P00219
U20128,P00020 P00133 P01972 P00006 P00001
U18074,P00020 P00133 P00219 P00006 P01972
U24449,P00006 P01972 P00020 P00133 P00219
U12992,P00020 P00133 P00219 P00006 P00002
U20082,P00020 P00133 P02159 P00562 P00453
U08409,P00020 P00006 P00219 P00562 P00002
U27977,P00953 P00196 P00562 P02720 P01593
U15554,P00001 P00020 P00801 P00003 P00133
U19116,P00020 P01972 P00006 P00133 P00219
U13395,P01972 P00020 P00453 P00595 P00222
U24057,P00020 P01972 P00133 P00006 P00001
U14336,P00020 P01972 P00006 P00133 P00001
U21881,P00020 P01972 P00219 P00006 P00133
U19997,P00020 P01972 P00006 P00133 P00001
U07353,P00020 P01972 P00133 P00006 P00001
U04291,P01972 P00020 P00219 P00133 P00006
U29143,P01972 P00006 P00133 P00001 P00219
U04841,P00020 P00133 P00006 P00219 P00002
U08830,P00133 P01972 P00001 P00562 P00002
U00614,P00020 P00006 P01972 P00133 P00219
U20402,P01972 P00562 P00219 P00133 P00020
U18707,P00020 P00006 P00133 P01972 P00219
U28495,P00595 P00522 P00190 P02937 P00502
U17960,P01972 P00006 P00001 P00219 P00133
U17549,P00020 P00133 P01972 P00219 P00001
U12697,P02549 P00660 P00823 P03216 P01928
U29063,P00020 P00133 P00219 P00006 P00002
U01980,P00020 P01972 P00133 P00006 P00219
U11010,P00020 P01972 P01897 P00084 P01751
U14103,P00006 P00133 P01972 P00001 P00219
U20762,P00020 P00133 P01972 P00001 P00002
U25276,P00020 P01972 P00006 P00219 P00562
U20044,P00020 P02159 P00001 P02537 P00133
U29674,P00020 P00133 P01972 P00006 P00562
U15033,P00020 P00001 P00133 P00219 P01972
U13723,P00020 P00133 P00001 P00219 P00196
U00856,P01972 P00020 P00006 P00219 P00001
U12669,P00133 P00006 P01972 P00020 P00219
U05293,P00020 P01972 P00133 P00006 P00219
U15829,P00020 P00133 P01972 P00219 P00001
U20804,P00020 P01972 P00006 P00562 P00001
U00801,P00133 P01972 P00006 P00001 P00219
U07396,P00020 P00006 P00133 P01972 P00002
U17830,P00020 P00006 P01972 P00133 P00219
U04902,P00020 P00133 P00219 P00006 P00196
U01190,P01972 P00020 P00133 P00562 P00006
U12592,P00006 P01972 P00219 P00002 P00562
U07593,P00219 P00855 P00453 P00002 P00727
U15989,P01972 P00020 P00002 P03122 P00006
U03969,P00020 P00133 P00006 P01972 P00001
U27120,P00020 P01972 P00133 P00001 P00006
U06610,P00020 P00133 P00006 P00196 P00001
U29619,P02172 P02746 P00712 P01896 P00467
U08265,P00020 P01972 P00219 P00001 P00562
U10507,P00020 P00133 P00219 P00006 P00001
U29883,P01972 P00001 P00196 P00133 P00006
U19048,P00020 P00133 P00006 P01972 P00453
U23757,P00020 P01972 P00196 P00006 P00704
U20275,P00020 P01972 P00006 P00219 P00001
U06177,P00020 P00133 P00006 P00219 P00001
U15191,P00020 P01972 P00133 P00006 P00453
U00847,P00020 P00006 P00219 P00467 P01972
U20265,P00020 P00006 P01972 P00133 P00219
U09425,P00020 P01972 P00133 P00219 P00006
U07599,P00020 P00006 P01972 P00219 P00562
U08137,P00020 P00133 P01972 P00219 P00467
U13059,P00020 P00133 P01972 P00001 P00219
U10803,P00133 P00020 P01972 P00562 P00219
U27929,P00020 P00006 P01972 P00133 P00001
U29082,P00020 P00133 P01972 P00001 P00562
U10131,P00904 P02120 P01050 P00073 P00562
