user_id,item_ids
U00003,P01972 P00006 P00133 P00219 P00001
U00009,P00020 P00133 P00006 P00219 P00001
U00019,P01972 P00006 P00133 P00219 P00001
U00025,P00020 P00133 P00001 P00219 P00006
U00027,P00020 P01972 P00133 P00006 P00219
U00034,P00020 P01972 P00219 P00006 P00001
U00038,P00020 P01972 P00133 P00001 P00006
U00040,P00020 P01972 P00133 P00001 P00006
U00044,P00020 P01972 P00006 P00219 P00001
U00051,P00020 P01972 P00001 P00002 P00133
U00062,P00020 P01972 P00006 P00001 P00133
U00069,P00020 P01972 P00133 P00006 P00001
U00075,P00020 P00133 P00219 P00006 P00001
U00076,P00020 P01972 P00133 P00006 P00219
U00082,P00006 P00133 P00001 P00219 P00002
U00085,P00020 P00133 P00006 P01972 P00219
U00088,P00020 P01972 P00001 P00133 P00219
U00089,P00020 P01972 P00133 P00006 P00219
U00090,P00020 P01972 P00219 P00133 P00006
U00092,P01972 P00006 P00001 P00219 P00002
U00094,P00020 P01972 P00219 P00133 P00006
U00099,P00020 P00133 P00006 P00219 P00001
U00101,P01972 P00133 P00002 P00219 P00001
U00105,P00020 P01972 P00006 P00133 P00001
U00108,P00020 P00006 P00219 P00133 P00001
U00109,P00020 P01972 P00006 P00133 P00219
U00115,P00020 P01972 P00133 P00001 P00219
U00116,P01972 P00006 P00133 P00001 P00219
U00118,P00020 P01972 P00133 P00006 P00001
U00123,P01972 P00219 P00001 P00006 P00133
U00125,P01972 P00133 P00006 P00219 P00002
U00127,P01972 P00133 P00001 P00006 P00219
U00129,P00020 P01972 P00133 P00001 P00006
U00130,P00020 P01972 P00133 P00219 P00006
U00131,P01972 P00020 P00133 P00219 P00001
U00137,P00020 P00133 P00219 P00006 P01972
U00138,P00020 P01972 P00133 P00001 P00006
U00140,P01972 P00133 P00219 P00001 P00006
U00141,P00020 P01972 P00133 P00219 P00001
U00144,P00020 P01972 P00133 P00001 P00219
U00151,P01972 P00001 P00219 P00006 P00133
U00156,P00020 P01972 P00133 P00001 P00006
U00157,P00020 P01972 P00133 P00006 P00002
U00158,P00020 P01972 P00133 P00006 P00219
U00160,P00020 P01972 P00133 P00001 P00219
U00161,P00020 P01972 P00133 P00006 P00001
U00163,P00020 P01972 P00006 P00133 P00001
U00164,P00020 P00219 P01972 P00001 P01612
U00170,P00020 P01972 P00219 P00133 P00006
U00174,P00020 P00001 P01972 P00133 P00219
U00177,P00020 P01972 P00006 P00219 P00001
U00191,P00020 P01972 P00001 P00133 P00006
U00193,P00020 P00133 P00006 P00219 P00001
U00196,P00020 P01972 P00219 P00001 P00133
U00199,P01972 P00006 P00133 P00219 P00196
U00200,P00020 P01972 P00001 P00133 P00219
U00201,P01972 P00006 P00133 P00001 P00002
U00204,P00020 P01972 P00133 P00219 P00006
U00206,P00020 P00133 P01972 P00219 P00001
U00212,P00020 P01972 P00133 P00006 P00219
U00218,P00133 P00020 P01972 P00001 P00219
U00219,P00020 P01972 P00001 P00133 P00219
U00220,P00020 P01972 P00133 P00001 P00002
U00226,P00020 P00133 P00001 P00219 P00006
U00227,P01972 P00133 P00219 P00001 P00006
U00232,P01972 P00020 P00006 P00133 P00219
U00236,P00020 P01972 P00133 P00001 P00006
U00237,P00020 P01972 P00133 P00006 P00001
U00239,P00020 P01972 P00006 P00133 P00001
U00241,P00020 P00219 P00133 P00006 P00001
U00245,P00020 P01972 P00133 P00219 P00006
U00257,P00020 P01972 P00001 P00219 P00006
U00258,P00020 P01972 P00219 P00006 P00133
U00260,P00020 P00133 P00001 P00006 P00002
U00262,P00020 P00001 P00006 P01972 P00219
U00265,P01972 P00006 P00133 P00001 P00219
U00267,P01972 P00006 P00133 P00219 P00196
U00271,P00020 P01972 P00133 P00219 P00006
U00273,P00020 P01972 P00006 P00133 P00219
U00278,P00020 P00001 P01972 P00006 P00133
U00280,P00006 P00219 P00001 P00002 P00196
U00281,P00020 P00133 P01972 P00219 P00224
