user_id,item_ids
U16127,P00020 P01972 P00133 P00001 P00219
U28891,P00020 P01972 P00001 P00006 P00002
U01934,P01972 P00006 P00001 P00133 P00196
U22546,P00020 P00001 P01972 P00002 P00133
U15740,P00020 P01972 P00001 P00133 P00006
U08453,P00020 P01972 P00219 P00001 P00006
U12767,P00020 P01972 P00133 P00006 P00001
U09903,P00020 P01972 P00006 P00133 P00001
U22897,P00020 P01972 P00006 P00001 P00133
U26566,P00020 P00133 P01972 P00196 P00006
U03174,P00020 P01972 P00133 P00001 P00006
U25903,P00020 P01972 P00001 P00133 P00006
U14167,P00020 P01972 P00133 P00006 P00001
U03120,P01972 P00133 P00006 P00219 P00196
U16611,P00020 P00133 P01972 P00006 P00002
U24294,P00020 P01972 P00006 P00133 P00196
U10246,P00020 P01972 P00133 P00006 P00002
U25664,P00020 P01972 P00219 P00001 P00002
U02610,P00020 P01972 P00001 P00133 P00219
U01798,P00020 P01972 P00001 P00133 P00006
U09724,P01972 P00001 P00133 P00219 P00196
U14226,P00020 P01972 P00133 P00219 P00002
U19597,P00020 P01972 P00001 P00133 P00006
U02877,P00020 P01972 P00133 P00001 P00219
U20966,P00020 P01972 P00006 P00133 P00001
U13348,P00020 P00001 P01972 P00006 P00219
U29552,P00020 P00001 P00133 P00006 P00196
U12905,P01972 P00006 P00133 P00001 P00219
U22303,P00020 P01972 P00001 P00133 P00006
U07283,P00020 P01972 P00133 P00006 P00219
U12153,P00020 P01972 P00133 P00219 P00002
U18424,P00020 P01972 P00006 P00001 P00219
U07634,P00020 P01972 P00133 P00006 P00219
U25694,P01972 P00133 P00001 P00006 P00002
U24917,P01972 P00001 P00006 P00002 P00196
U20643,P00020 P00006 P00001 P00133 P00219
U08318,P00020 P01972 P00006 P00001 P00133
U03735,P00020 P01972 P00001 P00133 P00006
U20467,P00001 P00020 P00133 P00196 P01972
U01257,P00133 P00001 P00006 P00219 P00002
U18559,P01972 P00133 P00006 P00219 P00001
U16930,P00020 P01972 P00006 P00001 P00133
U28720,P00020 P01972 P00133 P00219 P00006
U21215,P00020 P00133 P00001 P00006 P00219
U01952,P00020 P00133 P01972 P00001 P00006
U29288,P00020 P00001 P01972 P00133 P00006
U09527,P00020 P00219 P01972 P00002 P00133
U27699,P00020 P01972 P00001 P00006 P00219
U04213,P01972 P00001 P00006 P00133 P00219
U25679,P00020 P00001 P01972 P00219 P00196
U17070,P00020 P01972 P00001 P00006 P00219
U28789,P00020 P00133 P00001 P00006 P00219
U16636,P00020 P01972 P00133 P00006 P00219
U03280,P00020 P01972 P00196 P00001 P00003
U23287,P00020 P01972 P00001 P00133 P00006
U13988,P00020 P01972 P00001 P00133 P00006
U10918,P00020 P01972 P00001 P00006 P00133
U19292,P00020 P00001 P01972 P00006 P00133
U29274,P00020 P01972 P00001 P00133 P00219
U17465,P00020 P01972 P00133 P00006 P00219
U05521,P00020 P01972 P00006 P00133 P00001
U11063,P00020 P01972 P00133 P00001 P00002
U22094,P00020 P00001 P00133 P00006 P00219
U04310,P00020 P01972 P00001 P00133 P00219
U11146,P00020 P01972 P00133 P00001 P00002
U14789,P01972 P00020 P00002 P00006 P00453
U15734,P00020 P01972 P00133 P00001 P00006
U11458,P00020 P00133 P00001 P00006 P00003
U02677,P00020 P01972 P00001 P00133 P00006
U03761,P00020 P00001 P01972 P00133 P00006
U00118,P00020 P01972 P00133 P00001 P00006
U04657,P00020 P01972 P00133 P00006 P00001
U26262,P00020 P00133 P01972 P00006 P00001
U26276,P00020 P01972 P00133 P00001 P00006
U03227,P01210 P02450 P00747 P02093 P01211
U16605,P00020 P01972 P00133 P00001 P00006
U22243,P00020 P01972 P00001 P00219 P00006
U25545,P00133 P00006 P00001 P00002 P00196
U28548,P00020 P01972 P00001 P00133 P00219
U16392,P00001 P00133 P00196 P00006 P00002
U21655,P00020 P01972 P00133 P00001 P00006
U16814,P00020 P01972 P00133 P00001 P00006
U06137,P00020 P01972 P00006 P00133 P00219
U29331,P00020 P01972 P00001 P00006 P00219
U07710,P00020 P01972 P00133 P00001 P00006
U00816,P00020 P01972 P00001 P00006 P00219
U23682,P00020 P01972 P00133 P00001 P00006
U28278,P00020 P01972 P00001 P00133 P00006
U03728,P00020 P00001 P00002 P00133 P00196
U22122,P00020 P01972 P00001 P00133 P00006
U18997,P01972 P00001 P00006 P00219 P00133
U11674,P00020 P00133 P01972 P00453 P01976
U16778,P00020 P00001 P00133 P01972 P00006
U23342,P00020 P01972 P00006 P00001 P00133
U22498,P00020 P01972 P00001 P00133 P00006
U24122,P00020 P00001 P00006 P00219 P00002
U10213,P01256 P02166 P01593 P00196 P01132
U13225,P00020 P01972 P00006 P00133 P00002
U13282,P00020 P00001 P01972 P00006 P00133
U09395,P00020 P01972 P00001 P00133 P00006
U05061,P00020 P01972 P00133 P00006 P00002
U26622,P00020 P01972 P00133 P00001 P00006
U28839,P00020 P00133 P01972 P00002 P00006
U01532,P00020 P01972 P00006 P00133 P00001
U20638,P01972 P00001 P00006 P00133 P00219
U01193,P00020 P00006 P00001 P00133 P00002
U15833,P01972 P00001 P00133 P00006 P00002
U12487,P00020 P01972 P00001 P00133 P00219
U25956,P01972 P00020 P00133 P00001 P00006
U23899,P00020 P00133 P00001 P01972 P00006
U12324,P00020 P01972 P00133 P00006 P00219
U27038,P00020 P01972 P00133 P00001 P00002
U01070,P01972 P00006 P00133 P00001 P00219
U18181,P00020 P01972 P00001 P00006 P00133
U03027,P00020 P00001 P00006 P00219 P00002
U25079,P00020 P00001 P00133 P00006 P00219
U01386,P00020 P01972 P00133 P00001 P00002
U19602,P00020 P00133 P00006 P00002 P00196
U04681,P01389 P01676 P02348 P00548 P02073
U03740,P00020 P01972 P00001 P00006 P00133
U14729,P00133 P00006 P00001 P00219 P00002
U13018,P00020 P01972 P00001 P00133 P00219
U19436,P00020 P01972 P00219 P00133 P00006
U20815,P01901 P00816 P01547 P00369 P00984
U24785,P00020 P01972 P00001 P00133 P00219
U11819,P00020 P00001 P00002 P00006 P00133
U09037,P00020 P01972 P00001 P00006 P00219
U10867,P00020 P01972 P00006 P00133 P00219
U26327,P00020 P00001 P00133 P00006 P00219
U05641,P01972 P00001 P00133 P00219 P00196
U05052,P00020 P01972 P00006 P00001 P00219
U23068,P00020 P01972 P00001 P00133 P00002
U16345,P00020 P00133 P00001 P00006 P00002
U01431,P00020 P00133 P00001 P00006 P00219
U01432,P00020 P01972 P00001 P00133 P00002
U12400,P00020 P01972 P00006 P00001 P00133
U03964,P00001 P00006 P00133 P00196 P00002
U22062,P00020 P01972 P00001 P00006 P00133
U28721,P00020 P01972 P00133 P00001 P00006
U17216,P00219 P00595 P01972 P01684 P00001
U28539,P00020 P00001 P01972 P00133 P00006
U03441,P00020 P01972 P00133 P00001 P00219
U07745,P00020 P00006 P00133 P00219 P00002
U03038,P00020 P00001 P00006 P00133 P01972
U11869,P00020 P01972 P00001 P00006 P00133
U14043,P00020 P01972 P00001 P00133 P00006
U08225,P00020 P00001 P00006 P00133 P00196
U00289,P00020 P01972 P00133 P00006 P00219
U29914,P00020 P01972 P00001 P00133 P00006
U24085,P01972 P00133 P00006 P00001 P00002
U17403,P00020 P00001 P01972 P00133 P00006
U01158,P00020 P01972 P00006 P00133 P00001
U00348,P00020 P01972 P00133 P00219 P00002
U04978,P01972 P00006 P00219 P00196 P00003
U14771,P00020 P01972 P00133 P00001 P00002
U12264,P00020 P01972 P00001 P00133 P00006
U23544,P00020 P01972 P00133 P00001 P00006
U13599,P00020 P00133 P00001 P00006 P00002
U25048,P00020 P01972 P00133 P00001 P00006
U24461,P00020 P01972 P00133 P00006 P00001
U27594,P00020 P00133 P01972 P00001 P00219
