user_id,item_ids
U16127,P00020 P00001 P00006 P00219 P01972
U28891,P01972 P00020 P00006 P00219 P00002
U01934,P01972 P00133 P00002 P00219 P00006
U22546,P00020 P01972 P00133 P00219 P00006
U15740,P00020 P00006 P00133 P01972 P00001
U08453,P00020 P01972 P00006 P00001 P00219
U12767,P00020 P00133 P01972 P00006 P00219
U09903,P00020 P00219 P00006 P01972 P00133
U22897,P00020 P01972 P00219 P00006 P00001
U26566,P01972 P00020 P00133 P00219 P00001
U03174,P00020 P00133 P00006 P01972 P00219
U25903,P00020 P01972 P00006 P00133 P00219
U14167,P00020 P00001 P00219 P01972 P00006
U03120,P01972 P00006 P00219 P00133 P00002
U16611,P00020 P00006 P01972 P00219 P00002
U24294,P00020 P01972 P00219 P00001 P00133
U10246,P00020 P01972 P00006 P00133 P00001
U25664,P01972 P00020 P00219 P00002 P00467
U02610,P00020 P00001 P00219 P01972 P00002
U01798,P00020 P00006 P00133 P01972 P00219
U09724,P00001 P00219 P01972 P00002 P00133
U14226,P00020 P01972 P00219 P00133 P00002
U19597,P00020 P00006 P00133 P00219 P01972
U02877,P00020 P01972 P00219 P00001 P00133
U20966,P00020 P01972 P00133 P00219 P00001
U13348,P01972 P00020 P00133 P00006 P00002
U29552,P00020 P00001 P00219 P00006 P00562
U12905,P00001 P00006 P00219 P01972 P00002
U22303,P00020 P01972 P00006 P00001 P00133
U07283,P00020 P00006 P00219 P01972 P00002
U12153,P00020 P00219 P01972 P00133 P00002
U18424,P01972 P00020 P00219 P00002 P00006
U07634,P00020 P01972 P00006 P00133 P00219
U25694,P00001 P01972 P00219 P00006 P00133
U24917,P01972 P00006 P00001 P00219 P00002
U20643,P00020 P00001 P00219 P00006 P00133
U08318,P00020 P00006 P01972 P00133 P00219
U03735,P00020 P01972 P00219 P00133 P00001
U20467,P00020 P00006 P00001 P00219 P00133
U01257,P00001 P00219 P00006 P00133 P00002
U18559,P00001 P01972 P00002 P00006 P00219
U16930,P00020 P01972 P00219 P00133 P00006
U28720,P00020 P01972 P00006 P00133 P00219
U21215,P00020 P00133 P00006 P00219 P00002
U01952,P00020 P00006 P00001 P00002 P00133
U29288,P00006 P00133 P00020 P01972 P00001
U09527,P00020 P01972 P00006 P00219 P00002
U27699,P01972 P00020 P00006 P00219 P00562
U04213,P00006 P00001 P00219 P01972 P00133
U25679,P00020 P01972 P00001 P00006 P00002
U17070,P00020 P01972 P00006 P00219 P00002
U28789,P00020 P00133 P00006 P00219 P00562
U16636,P00020 P01972 P00219 P00006 P00133
U03280,P00020 P01972 P00006 P00001 P00219
U23287,P00020 P01972 P00133 P00006 P00219
U13988,P00020 P01972 P00133 P00219 P00006
U10918,P01972 P00020 P00133 P00001 P00219
U19292,P00020 P01972 P00006 P00219 P00133
U29274,P00020 P00006 P00001 P00002 P01972
U17465,P00020 P01972 P00006 P00219 P00133
U05521,P00020 P01972 P00006 P00133 P00001
U11063,P00020 P00133 P01972 P00219 P00006
U22094,P00020 P00001 P00219 P00006 P00133
U04310,P01972 P00020 P00133 P00219 P00001
U11146,P00020 P00006 P01972 P00001 P00133
U14789,P00020 P01972 P00006 P00133 P00219
U15734,P00020 P01972 P00133 P00219 P00002
U11458,P00133 P00020 P00006 P00002 P00219
U02677,P01972 P00020 P00133 P00006 P00219
U03761,P00020 P00001 P00219 P01972 P00006
U00118,P00020 P00001 P00006 P01972 P00133
U04657,P00020 P00219 P00006 P00133 P00001
U26262,P00020 P01972 P00006 P00133 P00219
U26276,P00020 P00133 P01972 P00006 P00219
U03227,P00020 P00133 P00219 P00006 P00002
U16605,P00020 P01972 P00219 P00133 P00001
U22243,P00020 P01972 P00219 P00006 P00001
U25545,P00001 P00006 P00002 P00133 P00196
U28548,P00133 P00020 P01972 P00219 P00002
U16392,P00006 P00001 P01972 P00219 P00133
U21655,P00020 P01972 P00001 P00133 P00002
U16814,P01972 P00133 P00020 P00006 P00219
U06137,P00020 P01972 P00219 P00002 P00001
U29331,P00020 P00006 P00219 P00001 P00133
U07710,P00020 P01972 P00133 P00006 P00219
U00816,P01972 P00006 P00020 P00219 P00562
U23682,P00020 P01972 P00001 P00219 P00006
U28278,P00020 P01972 P00006 P00001 P00002
U03728,P00020 P01972 P00219 P00002 P00133
U22122,P00020 P00219 P01972 P00133 P00006
U18997,P00006 P01972 P00001 P00219 P00133
U11674,P00020 P00001 P00006 P00219 P01972
U16778,P00020 P00001 P01972 P00006 P00219
U23342,P00020 P01972 P00219 P00133 P00001
U22498,P00020 P00006 P00001 P01972 P00219
U24122,P00219 P00020 P00006 P00562 P00002
U10213,P00020 P00006 P00002 P00219 P01972
U13225,P00020 P00006 P00219 P01972 P00002
U13282,P00020 P00001 P00006 P00219 P01972
U09395,P00006 P00133 P01972 P00020 P00219
U05061,P00020 P01972 P00219 P00006 P00002
U26622,P00020 P01972 P00001 P00006 P00133
U28839,P01972 P00133 P00006 P00020 P00002
U01532,P00020 P00001 P00006 P00219 P01972
U20638,P00001 P00006 P00219 P01972 P00002
U01193,P00020 P00001 P00006 P00133 P00002
U15833,P00001 P00006 P01972 P00002 P00133
U12487,P00020 P00001 P00133 P01972 P00219
U25956,P01972 P00006 P00133 P00020 P00219
U23899,P00020 P01972 P00001 P00006 P00219
U12324,P00020 P00006 P00219 P01972 P00133
U27038,P00020 P01972 P00001 P00219 P00133
U01070,P00006 P00001 P01972 P00219 P00133
U18181,P00020 P00006 P00001 P01972 P00219
U03027,P00020 P00219 P00006 P00001 P00002
U25079,P00020 P00006 P00133 P00001 P00219
U01386,P01972 P00020 P00006 P00133 P00219
U19602,P00020 P00006 P00133 P00002 P00196
U04681,P00020 P01972 P00219 P00006 P00133
U03740,P00020 P00006 P01972 P00001 P00219
U14729,P00001 P00219 P00006 P00133 P00002
U13018,P00020 P00219 P01972 P00133 P00001
U19436,P00020 P01972 P00006 P00001 P00133
U20815,P00020 P00006 P00133 P01972 P00219
U24785,P00020 P01972 P00219 P00133 P00001
U11819,P00020 P00006 P00001 P00219 P01972
U09037,P00020 P00006 P01972 P00219 P00001
U10867,P00020 P00006 P01972 P00219 P00133
U26327,P00020 P00133 P00006 P00219 P00001
U05641,P01972 P00219 P00001 P00006 P00133
U05052,P00020 P00006 P01972 P00219 P00001
U23068,P00020 P01972 P00001 P00002 P00133
U16345,P00020 P00001 P00006 P00133 P00002
U01431,P00020 P00133 P00219 P00001 P00006
U01432,P00020 P00001 P00219 P01972 P00133
U12400,P01972 P00133 P00020 P00006 P00562
U03964,P00133 P00001 P00006 P00002 P00196
U22062,P00020 P01972 P00006 P00001 P00219
U28721,P00020 P01972 P00219 P00001 P00006
