user_id,item_ids
U16127,P00020 P01972 P00219 P00133 P00001
U28891,P01972 P00219 P00006 P00020 P00001
U01934,P01972 P00133 P00219 P00006 P00001
U22546,P00020 P01972 P00219 P00133 P00001
U15740,P00020 P01972 P00133 P00001 P00006
U08453,P00020 P01972 P00133 P00219 P00006
U12767,P00020 P01972 P00219 P00001 P00006
U09903,P00020 P00001 P00133 P01972 P00002
U22897,P00020 P01972 P00133 P00219 P00001
U26566,P00020 P01972 P00219 P00562 P00001
U03174,P00020 P01972 P00001 P00219 P00133
U25903,P00020 P01972 P00002 P00006 P00133
U14167,P01972 P00020 P00219 P00133 P00001
U03120,P01972 P00219 P00562 P00006 P00002
U16611,P00020 P01972 P00219 P00001 P00002
U24294,P00020 P01972 P00219 P00001 P00006
U10246,P01972 P00020 P00219 P00133 P00006
U25664,P01972 P00020 P00219 P00001 P00002
U02610,P00020 P01972 P00219 P00133 P00002
U01798,P00020 P01972 P00219 P00133 P00006
U09724,P01972 P00001 P00133 P00002 P00219
U14226,P00020 P01972 P00002 P00133 P00219
U19597,P00020 P01972 P00219 P00006 P00001
U02877,P00020 P01972 P00133 P00002 P00001
U20966,P01972 P00020 P00133 P00219 P00006
U13348,P00020 P00219 P01972 P00133 P00001
U29552,P00020 P01972 P00219 P00001 P00133
U12905,P01972 P00219 P00002 P00006 P00133
U22303,P01972 P00020 P00133 P00006 P00001
U07283,P01972 P00020 P00133 P00006 P00219
U12153,P01972 P00020 P00133 P00219 P00002
U18424,P00020 P00219 P01972 P00006 P00001
U07634,P00020 P00133 P00006 P00219 P01972
U25694,P01972 P00219 P00133 P00006 P00002
U24917,P01972 P00001 P00219 P00006 P00002
U20643,P00020 P00219 P00133 P00006 P00002
U08318,P01972 P00020 P00133 P00219 P00006
U03735,P00020 P01972 P00219 P00006 P00133
U20467,P00020 P01972 P00219 P00001 P00133
U01257,P00219 P00001 P00562 P00006 P00002
U18559,P01972 P00219 P00002 P00006 P00133
U16930,P00020 P01972 P00219 P00006 P00133
U28720,P01972 P00020 P00006 P00133 P00219
U21215,P00219 P00133 P00020 P00006 P00002
U01952,P00020 P01972 P00219 P00133 P00002
U29288,P00020 P01972 P00219 P00006 P00002
U09527,P00020 P01972 P00219 P00002 P00006
U27699,P00020 P01972 P00219 P00001 P00006
U04213,P01972 P00219 P00006 P00133 P00562
U25679,P00020 P01972 P00219 P00133 P00006
U17070,P01972 P00020 P00219 P00006 P00001
U28789,P00020 P00219 P00133 P00006 P00001
U16636,P00020 P01972 P00133 P00219 P00006
U03280,P01972 P00020 P00219 P00006 P00133
