user_id,item_ids
U16127,P00020 P01972 P00001 P00133 P00219
U28891,P00020 P01972 P00006 P00001 P00219
U01934,P01972 P00133 P00006 P00001 P00219
U22546,P00020 P01972 P00001 P00133 P00006
U15740,P00020 P01972 P00133 P00001 P00006
U08453,P00020 P01972 P00133 P00006 P00001
U12767,P00020 P01972 P00006 P00133 P00001
U09903,P00020 P01972 P00133 P00006 P00001
U22897,P00020 P01972 P00001 P00006 P00133
U26566,P00020 P01972 P00133 P00006 P00001
U03174,P00020 P01972 P00001 P00133 P00006
U25903,P00020 P01972 P00001 P00133 P00006
U14167,P00020 P01972 P00001 P00133 P00006
U03120,P01972 P00133 P00006 P00219 P00002
U16611,P00020 P01972 P00001 P00006 P00133
U24294,P00020 P01972 P00006 P00001 P00133
U10246,P00020 P01972 P00001 P00006 P00133
U25664,P00020 P01972 P00001 P00219 P00196
U02610,P00020 P01972 P00133 P00001 P00219
U01798,P00020 P01972 P00001 P00133 P00006
U09724,P01972 P00001 P00133 P00219 P00196
U14226,P00020 P01972 P00133 P00219 P00002
U19597,P00020 P01972 P00001 P00006 P00133
U02877,P00020 P01972 P00133 P00006 P00001
U20966,P00020 P01972 P00006 P00133 P00001
U13348,P00020 P00133 P00006 P00002 P00219
U29552,P00020 P01972 P00006 P00133 P00196
U12905,P01972 P00133 P00001 P00006 P00219
U22303,P00020 P01972 P00133 P00001 P00006
U07283,P00020 P01972 P00133 P00006 P00219
U12153,P00020 P01972 P00133 P00219 P00196
U18424,P00020 P01972 P00006 P00001 P00219
U07634,P00020 P01972 P00133 P00006 P00219
U25694,P01972 P00001 P00133 P00006 P00219
U24917,P01972 P00006 P00001 P00219 P00002
U20643,P00020 P00001 P00006 P00133 P00219
U08318,P00020 P01972 P00133 P00001 P00006
U03735,P00020 P01972 P00006 P00001 P00133
U20467,P00001 P00020 P01972 P00219 P00133
U01257,P00133 P00001 P00006 P00219 P00002
U18559,P01972 P00006 P00133 P00001 P00219
U16930,P00020 P01972 P00133 P00001 P00006
U28720,P00020 P01972 P00133 P00001 P00006
U21215,P00020 P00006 P00133 P00001 P00219
U01952,P00020 P01972 P00001 P00133 P00006
U29288,P00020 P01972 P00001 P00133 P00006
U09527,P00020 P01972 P00219 P00001 P00002
U27699,P00020 P01972 P00006 P00001 P00219
U04213,P01972 P00133 P00006 P00001 P00219
U25679,P00020 P01972 P00006 P00001 P00133
U17070,P00020 P01972 P00001 P00006 P00219
U28789,P00020 P00001 P00133 P00006 P00219
U16636,P00020 P01972 P00133 P00006 P00219
U03280,P02248 P00020 P00219 P03156 P02163
U23287,P00020 P01972 P00001 P00133 P00006
U13988,P00020 P01972 P00006 P00133 P00001
U10918,P00020 P01972 P00001 P00133 P00006
U19292,P00020 P01972 P00001 P00133 P00006
U29274,P00020 P00133 P00001 P00006 P00196
U17465,P00020 P01972 P00133 P00001 P00006
U05521,P00020 P01972 P00006 P00001 P00133
U11063,P00020 P01972 P00006 P00133 P00001
U22094,P00020 P00001 P00006 P00133 P00219
U04310,P00020 P01972 P00133 P00001 P00219
U11146,P00020 P01972 P00001 P00133 P00006
U14789,P00133 P00219 P00006 P00453 P00001
U15734,P00020 P01972 P00001 P00006 P00133
U11458,P00020 P00001 P00006 P00133 P00219
U02677,P00020 P01972 P00001 P00133 P00006
